Source,Target,Type,Id,Label,timeset,Weight,book,part,pg,ch-num,ch-title
"ابراهيم الخليل",علي بن عبد العزيز بن عمرو المعري,Undirected,1,,,1,DQ,1,234,2,طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
"ابراهيم الخليل",نظام الملك,Undirected,2,,,1,DQ,1,234,2,طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
"علي بن عبد العزيز بن عمرو المعري",نظام الملك,Undirected,3,,,1,DQ,1,234,2,طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
"ابراهيم بن اسماعيل الجرجاني، أبو اسحاق",أبو عامر الجرجاني,Undirected,4,,,1,DQ,1,598,5,من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
"ابراهيم بن خلف الأندلسي، أبو الحسين",أبو عامر الجرجاني,Undirected,5,,,1,DQ,1,183,2,طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
"ابراهيم بن خلف الأندلسي، أبو الحسين",المظفر بن علي معروف القصري أبو البدر,Undirected,6,,,1,DQ,1,183,2,طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
"أبو عامر الجرجاني",المظفر بن علي معروف القصري أبو البدر,Undirected,7,,,1,DQ,1,183,2,طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
"ابراهيم بن سعيد، أبو اسحاق",الباخرزي,Undirected,8,,,1,DQ,2,1313,10,اسفراين
"ابراهيم بن عبد الرحمن المعري",المتنبي,Undirected,9,,,1,DQ,1,231,2,طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
"ابراهيم بن عبد الرحمن المعري",نظام الملك,Undirected,10,,,1,DQ,1,231,2,طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
"المتنبي",نظام الملك,Undirected,11,,,1,DQ,1,231,2,طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
"ابراهيم بن عبد الله الطائي",يعقوب بن أحمد النيسابوري,Undirected,12,,,1,DQ,2,1082,8,طبقات نيسابور
"ابراهيم بن عمر الجرباذقاني",العجم,Undirected,13,,,1,DQ,1,467,4,شعراء الري والجبال واصفهان وفارس وكرمان
"ابراهيم بن عمر الجرباذقاني",نظام الملك,Undirected,14,,,1,DQ,1,467,4,شعراء الري والجبال واصفهان وفارس وكرمان
"العجم",نظام الملك,Undirected,15,,,1,DQ,1,467,4,شعراء الري والجبال واصفهان وفارس وكرمان
"ابراهيم بن علي، أبو اسحاق",أبو جعفر البحاثي,Undirected,16,,,1,DQ,1,506,4,شعراء الري والجبال واصفهان وفارس وكرمان
"ابراهيم بن علي، أبو اسحاق",أبو محمد العبدلكاني الزوزني,Undirected,17,,,1,DQ,1,506,4,شعراء الري والجبال واصفهان وفارس وكرمان
"ابراهيم بن علي، أبو اسحاق",أبو هلال العسكري,Undirected,18,,,1,DQ,1,506,4,شعراء الري والجبال واصفهان وفارس وكرمان
"أبو جعفر البحاثي",أبو محمد العبدلكاني الزوزني,Undirected,19,,,1,DQ,1,506,4,شعراء الري والجبال واصفهان وفارس وكرمان
"أبو جعفر البحاثي",أبو هلال العسكري,Undirected,20,,,1,DQ,1,506,4,شعراء الري والجبال واصفهان وفارس وكرمان
"أبو محمد العبدلكاني الزوزني",أبو هلال العسكري,Undirected,21,,,1,DQ,1,506,4,شعراء الري والجبال واصفهان وفارس وكرمان
"ابراهيم بن محمد بن شعيب البكري",أبو محمد العبدلكاني الزوزني,Undirected,22,,,1,DQ,1,57,1,طبقات شعراء البدو والحجاز
"ابراهيم بن محمد بن شعيب البكري",مأمون خوارزم شاه أبو العباس,Undirected,23,,,1,DQ,1,57,1,طبقات شعراء البدو والحجاز
"ابراهيم بن محمد بن شعيب البكري",محمد بن جراح البكري,Undirected,24,,,1,DQ,1,57,1,طبقات شعراء البدو والحجاز
"ابراهيم بن محمد بن شعيب البكري",نصر أبو المظفر صاحب الجيش,Undirected,25,,,1,DQ,1,57,1,طبقات شعراء البدو والحجاز
"أبو محمد العبدلكاني الزوزني",مأمون خوارزم شاه أبو العباس,Undirected,26,,,1,DQ,1,57,1,طبقات شعراء البدو والحجاز
"أبو محمد العبدلكاني الزوزني",محمد بن جراح البكري,Undirected,27,,,1,DQ,1,57,1,طبقات شعراء البدو والحجاز
"أبو محمد العبدلكاني الزوزني",نصر أبو المظفر صاحب الجيش,Undirected,28,,,1,DQ,1,57,1,طبقات شعراء البدو والحجاز
"مأمون خوارزم شاه أبو العباس",محمد بن جراح البكري,Undirected,29,,,1,DQ,1,57,1,طبقات شعراء البدو والحجاز
"مأمون خوارزم شاه أبو العباس",نصر أبو المظفر صاحب الجيش,Undirected,30,,,1,DQ,1,57,1,طبقات شعراء البدو والحجاز
"محمد بن جراح البكري",نصر أبو المظفر صاحب الجيش,Undirected,31,,,1,DQ,1,57,1,طبقات شعراء البدو والحجاز
