Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,eigencentrality,clustering,triangles
"ابراهيم الخليل",ابراهيم الخليل,,6,6,7,0.277553,0.296323,0,0.000658,0.000658,2,0.000194,1,0.004804,1,1
"علي بن عبد العزيز بن عمرو المعري",علي بن عبد العزيز بن عمرو المعري,,6,6,7,0.277553,0.296323,0,0.000658,0.000658,2,0.000194,1,0.004804,1,1
"نظام الملك",نظام الملك,,247,247,6,0.383792,0.43849,0.067247,0.03156,0.03156,2,0.001497,1,0.171382,0.048246,77
"ابراهيم بن اسماعيل الجرجاني، أبو اسحاق",ابراهيم بن اسماعيل الجرجاني، أبو اسحاق,,2,2,6,0.307598,0.330943,0,0.001658,0.001658,0,0.000164,1,0.009173,0,0
"أبو عامر الجرجاني",أبو عامر الجرجاني,,736,736,5,0.443986,0.525166,0.200671,0.121709,0.121709,0,0.002433,1,0.581064,0.02764,250
"ابراهيم بن خلف الأندلسي، أبو الحسين",ابراهيم بن خلف الأندلسي، أبو الحسين,,6,6,6,0.307724,0.331607,0,0.002539,0.002539,0,0.000192,1,0.014271,1,1
"المظفر بن علي معروف القصري أبو البدر",المظفر بن علي معروف القصري أبو البدر,,6,6,6,0.307724,0.331607,0,0.002539,0.002539,0,0.000192,1,0.014271,1,1
"ابراهيم بن سعيد، أبو اسحاق",ابراهيم بن سعيد، أبو اسحاق,,2,2,7,0.290846,0.30713,0,0.001323,0.001323,9,0.000163,1,0.005131,0,0
"الباخرزي",الباخرزي,,342,342,6,0.409907,0.460447,0.083343,0.097086,0.097086,9,0.000671,1,0.329307,0.081454,130
"ابراهيم بن عبد الرحمن المعري",ابراهيم بن عبد الرحمن المعري,,6,6,6,0.306596,0.324856,0,0.001532,0.001532,2,0.000169,1,0.009281,1,1
"المتنبي",المتنبي,,222,222,5,0.414648,0.457459,0.059394,0.043391,0.043391,10,0.000553,1,0.194632,0.10148,96
"ابراهيم بن عبد الله الطائي",ابراهيم بن عبد الله الطائي,,2,2,6,0.28383,0.300155,0,0.000694,0.000694,6,0.000166,1,0.002979,0,0
"يعقوب بن أحمد النيسابوري",يعقوب بن أحمد النيسابوري,,234,234,5,0.396107,0.446569,0.062517,0.050926,0.050926,6,0.001301,1,0.181023,0.044486,71
"ابراهيم بن عمر الجرباذقاني",ابراهيم بن عمر الجرباذقاني,,6,6,7,0.291409,0.311095,0,0.000975,0.000975,2,0.000171,1,0.006982,1,1
"العجم",العجم,,113,113,6,0.373883,0.410491,0.016977,0.016131,0.016131,0,0.000523,1,0.095073,0.14,42
"ابراهيم بن علي، أبو اسحاق",ابراهيم بن علي، أبو اسحاق,,12,12,6,0.317722,0.338513,0,0.023464,0.023464,5,0.000177,1,0.047067,1,3
"أبو جعفر البحاثي",أبو جعفر البحاثي,,707,707,5,0.443463,0.513302,0.194864,0.476283,0.476283,5,0.001616,1,1,0.036582,244
"أبو محمد العبدلكاني الزوزني",أبو محمد العبدلكاني الزوزني,,311,311,6,0.375561,0.423927,0.030985,0.361483,0.361483,5,0.000481,1,0.728976,0.119628,103
"أبو هلال العسكري",أبو هلال العسكري,,12,12,6,0.317722,0.338513,0,0.023464,0.023464,5,0.000177,1,0.047067,1,3
"ابراهيم بن محمد بن شعيب البكري",ابراهيم بن محمد بن شعيب البكري,,20,20,7,0.27342,0.291836,0,0.013711,0.013711,5,0.000187,1,0.027234,1,6
"مأمون خوارزم شاه أبو العباس",مأمون خوارزم شاه أبو العباس,,20,20,7,0.27342,0.291836,0,0.013711,0.013711,5,0.000187,1,0.027234,1,6
"محمد بن جراح البكري",محمد بن جراح البكري,,20,20,7,0.27342,0.291836,0,0.013711,0.013711,5,0.000187,1,0.027234,1,6
"نصر أبو المظفر صاحب الجيش",نصر أبو المظفر صاحب الجيش,,20,20,7,0.27342,0.291836,0,0.013711,0.013711,5,0.000187,1,0.027234,1,6
"ابراهيم بن المدبر",ابراهيم بن المدبر,,2,2,7,0.261549,0.273753,0,0.000249,0.000249,0,0.00017,1,0.001152,0,0
"البحتري",البحتري,,42,42,6,0.35402,0.385104,0.006952,0.018289,0.018289,0,0.000403,1,0.071523,0.244444,11
"ابراهيم بن نبال",ابراهيم بن نبال,,12,12,7,0.28097,0.298289,0,0.000695,0.000695,0,0.000182,1,0.005697,1,3
"طغرلبك",طغرلبك,,126,126,6,0.347806,0.385547,0.022397,0.009865,0.009865,0,0.000452,1,0.061728,0.110345,48
"فنا خسرو بن أبي طاهر بن بهاء الدولة",فنا خسرو بن أبي طاهر بن بهاء الدولة,,12,12,7,0.28097,0.298289,0,0.000695,0.000695,0,0.000182,1,0.005697,1,3
"يحيى بن نصر السعدي البغدادي",يحيى بن نصر السعدي البغدادي,,76,76,6,0.365712,0.401505,0.011852,0.014949,0.014949,0,0.000384,1,0.078634,0.183824,25
"ابن قاضي شهبة",ابن قاضي شهبة,,50,50,6,0.284366,0.30259,0,0.006228,0.006228,6,0.00018,1,0.032295,1,6
"البرهاني",البرهاني,,30,30,6,0.284366,0.30259,0,0.003148,0.003148,6,0.000178,1,0.017454,1,6
"تميم بن مفرج الطائي أبو كامل",تميم بن مفرج الطائي أبو كامل,,48,48,6,0.338731,0.36525,0.001021,0.010494,0.010494,6,0.00022,1,0.057872,0.428571,12
"السرخسي",السرخسي,,30,30,6,0.284366,0.30259,0,0.003148,0.003148,6,0.000178,1,0.017454,1,6
"ابن الأثير",ابن الأثير,,6,6,7,0.27342,0.29095,0,0.007545,0.007545,5,0.000179,1,0.01463,1,1
"أبو جعفر الأنداذي",أبو جعفر الأنداذي,,12,12,7,0.274818,0.293452,0.000451,0.007754,0.007754,5,0.000231,1,0.015471,0.333333,2
"أبو محمد الحمداني",أبو محمد الحمداني,,497,497,6,0.401814,0.474723,0.121398,0.127143,0.127143,3,0.001514,1,0.402201,0.031131,139
"أحمد بن ينفع أبو نصر",أحمد بن ينفع أبو نصر,,28,28,6,0.32954,0.353143,0.002226,0.009751,0.009751,0,0.000181,1,0.042352,0.6,6
"ابن أبي ربيعة",ابن أبي ربيعة,,42,42,6,0.267972,0.282891,0,0.000686,0.000686,1,0.000184,1,0.010782,1,15
"ابن الحجاج",ابن الحجاج,,54,54,6,0.269121,0.287096,0.006092,0.000719,0.000719,1,0.000269,1,0.011864,0.377778,17
"أحمد بن نيالتكين",أحمد بن نيالتكين,,44,44,6,0.317053,0.341036,0.006652,0.006879,0.006879,1,0.000186,1,0.023626,0.714286,15
"امرؤ القيس",امرؤ القيس,,70,70,6,0.318798,0.345153,0.016347,0.003259,0.003259,1,0.000355,1,0.026189,0.190476,20
"جرير",جرير,,54,54,6,0.299285,0.320872,0.00419,0.001836,0.001836,1,0.000195,1,0.01775,0.472222,17
"حسان (بن ثابت)",حسان (بن ثابت),,60,60,6,0.268737,0.286875,0.007385,0.000963,0.000963,1,0.000253,1,0.012823,0.345455,19
"الفرزدق",الفرزدق,,48,48,6,0.272826,0.289841,0.000521,0.000743,0.000743,1,0.000188,1,0.012161,0.761905,16
"ابن أبي سعد بن خلف",ابن أبي سعد بن خلف,,12,12,7,0.256909,0.271353,0,0.000473,0.000473,3,0.000184,1,0.003709,1,3
"ابن برهان النحوي",ابن برهان النحوي,,47,47,6,0.311543,0.339287,0.00195,0.008074,0.008074,3,0.00026,1,0.036364,0.218182,12
"ابن شبل البغدادي",ابن شبل البغدادي,,42,42,6,0.326398,0.351815,0.002145,0.008818,0.008818,0,0.000214,1,0.052207,0.464286,13
"أحمد بن علي الفقيه الشافعي أبو الفتح",أحمد بن علي الفقيه الشافعي أبو الفتح,,12,12,7,0.256909,0.271353,0,0.000473,0.000473,3,0.000184,1,0.003709,1,3
"ابن بابا",ابن بابا,,20,20,7,0.305105,0.332252,0,0.0058,0.0058,2,0.000185,1,0.025786,1,6
"أبو طالب الوحيد المصري",أبو طالب الوحيد المصري,,20,20,7,0.305105,0.332252,0,0.0058,0.0058,2,0.000185,1,0.025786,1,6
"غرس النعمة",غرس النعمة,,20,20,7,0.305105,0.332252,0,0.0058,0.0058,2,0.000185,1,0.025786,1,6
"ابن بابك",ابن بابك,,30,30,6,0.326965,0.351505,0,0.008075,0.008075,10,0.000179,1,0.046533,1,10
"ابن نباتة",ابن نباتة,,30,30,6,0.326965,0.351505,0,0.008075,0.008075,10,0.000179,1,0.046533,1,10
"أبو غانم القصري",أبو غانم القصري,,42,42,6,0.347485,0.376671,0.000189,0.011605,0.011605,10,0.000194,1,0.063168,0.607143,17
"أبو محمد المخزومي البصري",أبو محمد المخزومي البصري,,50,50,6,0.328391,0.355046,0.000439,0.012815,0.012815,10,0.000198,1,0.07394,0.571429,16
"ابن بشران",ابن بشران,,55,55,6,0.333629,0.368017,0.004311,0.012212,0.012212,3,0.000298,1,0.05733,0.242424,16
"القائم بأمر الله",القائم بأمر الله,,111,111,6,0.353355,0.387738,0.009426,0.017072,0.017072,9,0.000246,1,0.087994,0.245614,42
"يحيى بن علي الخطيب التبريزي",يحيى بن علي الخطيب التبريزي,,63,63,6,0.342273,0.374989,0.001387,0.012439,0.012439,2,0.000233,1,0.067682,0.363636,24
"أبو سعيد الكرابيسي",أبو سعيد الكرابيسي,,12,12,7,0.287844,0.312265,0,0.003787,0.003787,3,0.000182,1,0.014708,1,3
"عبد الله بن عبد الرزاق",عبد الله بن عبد الرزاق,,12,12,7,0.287844,0.312265,0,0.003787,0.003787,3,0.000182,1,0.014708,1,3
"محمد بن الحسين التمار الواسطي أبو الفرج",محمد بن الحسين التمار الواسطي أبو الفرج,,6,6,7,0.287734,0.311601,0,0.002763,0.002763,3,0.000169,1,0.010492,1,1
"صالح بن اسحاق الوراق",صالح بن اسحاق الوراق,,28,28,6,0.303997,0.325719,0.00025,0.004583,0.004583,6,0.00019,1,0.017652,0.466667,7
"ابن بديع الأصفهاني",ابن بديع الأصفهاني,,12,12,7,0.28906,0.312929,0,0.00367,0.00367,3,0.000192,1,0.013997,1,3
"أبو الفوائد",أبو الفوائد,,16,16,7,0.306721,0.330491,0.001934,0.003884,0.003884,3,0.000271,1,0.015743,0.3,3
"الزنج",الزنج,,12,12,7,0.28906,0.312929,0,0.00367,0.00367,3,0.000192,1,0.013997,1,3
"العزيز",العزيز,,20,20,7,0.287514,0.31242,0,0.005093,0.005093,3,0.000185,1,0.020514,1,6
"المطهر بن علي أبو المكارم",المطهر بن علي أبو المكارم,,20,20,7,0.287514,0.31242,0,0.005093,0.005093,3,0.000185,1,0.020514,1,6
"يوسف (النبي)",يوسف (النبي),,20,20,7,0.287514,0.31242,0,0.005093,0.005093,3,0.000185,1,0.020514,1,6
"أبو طالب بن حمد",أبو طالب بن حمد,,6,6,7,0.287295,0.311092,0,0.002848,0.002848,3,0.000169,1,0.010946,1,1
"أبو عبد الله المردوسي",أبو عبد الله المردوسي,,6,6,7,0.250332,0.264725,0,0.000255,0.000255,3,0.000194,1,0.001802,1,1
"أبو منصور بن بكران",أبو منصور بن بكران,,6,6,7,0.250332,0.264725,0,0.000255,0.000255,3,0.000194,1,0.001802,1,1
"محمد بن الحسن البصري أبو يعلى",محمد بن الحسن البصري أبو يعلى,,8,8,6,0.308986,0.333599,0,0.003649,0.003649,3,0.000169,1,0.020406,1,1
"ابن الجوزي",ابن الجوزي,,132,132,6,0.340878,0.372709,0.003154,0.124842,0.124842,5,0.000225,1,0.256193,0.416667,50
"أبو بكر العنبري",أبو بكر العنبري,,30,30,7,0.290173,0.31574,0,0.011737,0.011737,3,0.000181,1,0.035066,1,10
"عبد المنعم بن الحسين الصوري أبو المحاسن",عبد المنعم بن الحسين الصوري أبو المحاسن,,30,30,7,0.290173,0.31574,0,0.011737,0.011737,3,0.000181,1,0.035066,1,10
"علي بن محمد اللؤلئي",علي بن محمد اللؤلئي,,30,30,7,0.290173,0.31574,0,0.011737,0.011737,3,0.000181,1,0.035066,1,10
"المتصوفون",المتصوفون,,30,30,7,0.290173,0.31574,0,0.011737,0.011737,3,0.000181,1,0.035066,1,10
"أبو سعد الكاتب بن دوست",أبو سعد الكاتب بن دوست,,273,273,6,0.347165,0.387406,0.018651,0.319317,0.319317,5,0.000394,1,0.606769,0.209677,104
"الحسن بن مكرم أبو محمد",الحسن بن مكرم أبو محمد,,90,90,6,0.312968,0.338756,0,0.114578,0.114578,5,0.000176,1,0.218332,1,36
"حمد بن محمد الثوري",حمد بن محمد الثوري,,116,116,6,0.323454,0.350421,0.000203,0.145083,0.145083,5,0.000193,1,0.27828,0.666667,44
"فخر الدولة",فخر الدولة,,124,124,6,0.32527,0.354405,0.004124,0.137007,0.137007,5,0.000276,1,0.262363,0.457143,48
"قريش",قريش,,90,90,6,0.312968,0.338756,0,0.114578,0.114578,5,0.000176,1,0.218332,1,36
"محمد بن أحمد بن حبيب",محمد بن أحمد بن حبيب,,90,90,6,0.312968,0.338756,0,0.114578,0.114578,5,0.000176,1,0.218332,1,36
"منصور بن جلهنار",منصور بن جلهنار,,90,90,6,0.312968,0.338756,0,0.114578,0.114578,5,0.000176,1,0.218332,1,36
"النضيري",النضيري,,110,110,6,0.323037,0.349314,0.000134,0.135944,0.135944,5,0.000185,1,0.258871,0.781818,43
