Source,Target,Relation
https://usaybia.net/person/1028,https://usaybia.net/person/2299,http://syriaca.org/keyword/student-of
https://usaybia.net/person/2299,https://usaybia.net/person/1028,inverse of http://syriaca.org/keyword/student-of
https://usaybia.net/person/254,https://usaybia.net/person/1028,http://syriaca.org/keyword/written-informant-about
https://usaybia.net/person/1028,https://usaybia.net/person/254,inverse of http://syriaca.org/keyword/written-informant-about
https://usaybia.net/person/926,https://usaybia.net/person/254,http://syriaca.org/keyword/cited
https://usaybia.net/person/254,https://usaybia.net/person/926,inverse of http://syriaca.org/keyword/cited
https://usaybia.net/person/1093,https://usaybia.net/person/1028,http://syriaca.org/keyword/cited-positively
https://usaybia.net/person/1028,https://usaybia.net/person/1093,inverse of http://syriaca.org/keyword/cited-positively
https://usaybia.net/person/1439,https://usaybia.net/person/1028,http://syriaca.org/keyword/acquaintance-of
https://usaybia.net/person/1028,https://usaybia.net/person/1439,http://syriaca.org/keyword/acquaintance-of
https://usaybia.net/person/1000,https://usaybia.net/person/1028,http://syriaca.org/keyword/student-of
https://usaybia.net/person/1028,https://usaybia.net/person/1000,inverse of http://syriaca.org/keyword/student-of
https://usaybia.net/person/926,https://usaybia.net/person/1000,http://syriaca.org/keyword/cited
https://usaybia.net/person/1000,https://usaybia.net/person/926,inverse of http://syriaca.org/keyword/cited
https://usaybia.net/person/1404,https://usaybia.net/person/1028,http://syriaca.org/keyword/addressee-of
https://usaybia.net/person/1028,https://usaybia.net/person/1404,inverse of http://syriaca.org/keyword/addressee-of
https://usaybia.net/person/926,https://usaybia.net/person/1028,http://syriaca.org/keyword/reader-of-handwriting-of
https://usaybia.net/person/1028,https://usaybia.net/person/926,inverse of http://syriaca.org/keyword/reader-of-handwriting-of
