Source,Target,Relation
https://usaybia.net/person/1875,https://usaybia.net/person/926,http://syriaca.org/keyword/oral-informant-to
https://usaybia.net/person/926,https://usaybia.net/person/1875,inverse of http://syriaca.org/keyword/oral-informant-to
https://usaybia.net/person/1085,https://usaybia.net/person/926,http://syriaca.org/keyword/cited
https://usaybia.net/person/926,https://usaybia.net/person/1085,inverse of http://syriaca.org/keyword/cited
https://usaybia.net/person/2342,https://usaybia.net/person/1085,http://syriaca.org/keyword/oral-informant-to
https://usaybia.net/person/1085,https://usaybia.net/person/2342,inverse of http://syriaca.org/keyword/oral-informant-to
https://usaybia.net/person/926,https://usaybia.net/person/997,http://syriaca.org/keyword/reader-of-handwriting-of
https://usaybia.net/person/997,https://usaybia.net/person/926,inverse of http://syriaca.org/keyword/reader-of-handwriting-of
https://usaybia.net/person/997,https://usaybia.net/person/565,http://syriaca.org/keyword/cited
https://usaybia.net/person/565,https://usaybia.net/person/997,inverse of http://syriaca.org/keyword/cited
https://usaybia.net/person/997,https://usaybia.net/person/786,http://syriaca.org/keyword/cited
https://usaybia.net/person/786,https://usaybia.net/person/997,inverse of http://syriaca.org/keyword/cited
https://usaybia.net/person/997,https://usaybia.net/person/318,http://syriaca.org/keyword/cited
https://usaybia.net/person/318,https://usaybia.net/person/997,inverse of http://syriaca.org/keyword/cited
https://usaybia.net/person/926,https://usaybia.net/person/997,http://syriaca.org/keyword/cited
https://usaybia.net/person/997,https://usaybia.net/person/926,inverse of http://syriaca.org/keyword/cited
https://usaybia.net/person/926,https://usaybia.net/person/997,http://syriaca.org/keyword/cited
https://usaybia.net/person/997,https://usaybia.net/person/926,inverse of http://syriaca.org/keyword/cited
