URI,Name
https://usaybia.net/person/1589
https://usaybia.net/person/1589,al-Mubashshir ibn Fātik, Maḥmūd al-Dawlah Abū l-Wafāʾ
https://usaybia.net/person/997,Ibn al-Haytham
https://usaybia.net/person/494,Ibn al-Āmidī
https://usaybia.net/person/1093,Ibn Riḍwān
https://usaybia.net/person/926,Ibn Abī Uṣaybiʿa
https://usaybia.net/person/1589,Ibn Fātik
https://usaybia.net/person/1947,Shaykh Sadīd al-Dīn
https://usaybia.net/person/2553,Anonymous 2553
https://usaybia.net/person/2553,Ibn Fātik's influential wife
https://usaybia.net/person/1983,Salāmah ibn Raḥmūn

