URI,Name 
https://usaybia.net/person/1093 
https://usaybia.net/person/1093,
                                    Ibn Riḍwān
                                 
https://usaybia.net/person/926,His 
https://usaybia.net/person/1093, Ibn Riḍwān 
https://usaybia.net/person/961, Ibn Butlan:
                             
https://usaybia.net/person/961, Ibn Butlan
                         
https://usaybia.net/person/2457,an orphan girl
https://usaybia.net/person/1093,he 
https://usaybia.net/person/1093,Ibn Riḍwān 
https://usaybia.net/person/1688 
https://usaybia.net/person/961,Ibn Buṭlān 
https://usaybia.net/person/1093,Ibn Ridwan's 

