URI	Name	Entry	Refs	Occupation	Affiliation	Gender	Date
https://usaybia.net/person/1	ʿAbbād ibn ʿAbbās	ʿAbbād ibn ʿAbbās, unidentified physician, addressee of Ibn Mandawayh al-Iṣfahānī 	11.16.1.2.7	physician			
https://usaybia.net/person/2	al-ʿAbbās	al-ʿAbbās, unidentified agent of Ibrāhīm ibn al-Aghlab 	13.1.1 no. 9	agent			
https://usaybia.net/person/3	al-ʿAbbās (ibn ʿAbd al-Muṭṭalib) 	al-ʿAbbās (ibn ʿAbd al-Muṭṭalib) – uncle of Muḥammad, ancestor of the Abbasids (d. ca. 32/653) 	10.68.2.1(p)		Abbasid 	uncle	d. ca. 32/653
https://usaybia.net/person/4	al-ʿAbbās ibn ʿAlī ibn al-Mahdī (Abū Quraysh)	al-ʿAbbās ibn ʿAlī ibn al-Mahdī (Abū Quraysh), grandson of al-Mahdī, nephew of Mūsā al-Hādī and Hārūn al-Rashīd 	8.8.2			grandson, nephew	
https://usaybia.net/person/5	al-ʿAbbās ibn al-Maʾmūn	al-ʿAbbās ibn al-Maʾmūn, household of al-Muʿtaṣim (ca. 221/836) 	8.20.5				ca. 221/836
https://usaybia.net/person/6	al-ʿAbbās ibn Muḥammad	al-ʿAbbās ibn Muḥammad, brother of al-Manṣūr 	8.3.18			brother	
https://usaybia.net/person/7	al-ʿAbbāsah bint al-Mahdī ibn Abī Jaʿfar al-Manṣūr	al-ʿAbbāsah bint al-Mahdī ibn Abī Jaʿfar al-Manṣūr, 2nd/8th-c. daughter of al-Mahdī, sister of Hārūn al-Rashīd, wife of Khālid ibn Barmak and Ibrāhīm ibn Ṣāliḥ ibn ʿAlī 	8.3.22; 12.6			daughter, sister, wife	2nd/8th-c.
https://usaybia.net/person/8	ʿAbd Allāh	ʿAbd Allāh, advisor to al-Muntaṣir 	8.4.3	advisor			
https://usaybia.net/person/9	ʿAbd Allāh Ⅰ	ʿAbd Allāh Ⅰ, seventh emir of Cordova 	13.15	emir			
https://usaybia.net/person/10	ʿAbd Allāh	ʿAbd Allāh (? = ʿUbayd Allāh ibn Yaḥyā ibn Khāqān), vizier of al-Mutawakkil 	8.4.3n; 8.12	vizier			
https://usaybia.net/person/11	ʿAbd Allāh	ʿAbd Allāh, shaykh of Mālik clan, of Banū Hāshim (ca. 169–170/785–786) 	8.10.3	shaykh			ca. 169–170/785–786
