Source URI	Relationship	Target URI
https://usaybia.net/person/1	addressee of	https://usaybia.net/person/1040
https://usaybia.net/person/2	agent of	https://usaybia.net/person/1184
https://usaybia.net/person/3	uncle of	https://usaybia.net/person/1599
https://usaybia.net/person/4	grandson of	https://usaybia.net/person/1436
https://usaybia.net/person/5	household of	https://usaybia.net/person/1700
https://usaybia.net/person/6	brother of	https://usaybia.net/person/1502
https://usaybia.net/person/7	daughter of	https://usaybia.net/person/1436
https://usaybia.net/person/8	advisor to	https://usaybia.net/person/2386
https://usaybia.net/person/10	vizier of	https://usaybia.net/person/1702
https://usaybia.net/person/12	physician to	https://usaybia.net/person/806
https://usaybia.net/person/15	uncle of	https://usaybia.net/person/1950
https://usaybia.net/person/18	host of	https://usaybia.net/person/1125
https://usaybia.net/person/23	son of	https://usaybia.net/person/806
https://usaybia.net/person/31	secretary to	https://usaybia.net/person/1523
https://usaybia.net/person/33	father of	https://usaybia.net/person/274
https://usaybia.net/person/34	physician of	https://usaybia.net/person/2258
https://usaybia.net/person/37	served	https://usaybia.net/person/1459
https://usaybia.net/person/38	son of	https://usaybia.net/person/1339
https://usaybia.net/person/40	leader of a revolt against	https://usaybia.net/person/811
https://usaybia.net/person/42	son of	https://usaybia.net/person/1383
https://usaybia.net/person/44	brother of	https://usaybia.net/person/2255
https://usaybia.net/person/45	brother of	https://usaybia.net/person/15
https://usaybia.net/person/47	courtier of	https://usaybia.net/person/1700
https://usaybia.net/person/49	associate of	https://usaybia.net/person/1337
https://usaybia.net/person/50	physician of	https://usaybia.net/person/806
https://usaybia.net/person/52	student of	https://usaybia.net/person/1136
https://usaybia.net/person/54	brother of	https://usaybia.net/person/1972
https://usaybia.net/person/60		https://usaybia.net/person/841
https://usaybia.net/person/62	son of	https://usaybia.net/person/1408
https://usaybia.net/person/65	vizier of	https://usaybia.net/person/2386
https://usaybia.net/person/74	father of	https://usaybia.net/person/1596
https://usaybia.net/person/76	brother of	https://usaybia.net/person/274
https://usaybia.net/person/78	son of	https://usaybia.net/person/233
https://usaybia.net/person/86	tutor to	https://usaybia.net/person/1125
https://usaybia.net/person/89	patron of	https://usaybia.net/person/1125
https://usaybia.net/person/93	son of	https://usaybia.net/person/1174
https://usaybia.net/person/95	vizier of	https://usaybia.net/person/1897
https://usaybia.net/person/100	`mawlā` of	https://usaybia.net/person/1667
https://usaybia.net/person/102	secretary of	https://usaybia.net/person/324
https://usaybia.net/person/106	contemporary of	https://usaybia.net/person/1125
https://usaybia.net/person/108	courtier of	https://usaybia.net/person/841
https://usaybia.net/person/111	secretary of	https://usaybia.net/person/814
https://usaybia.net/person/112	contemporary of	https://usaybia.net/person/1016
https://usaybia.net/person/113	grandson of	https://usaybia.net/person/437
https://usaybia.net/person/117	teacher of	https://usaybia.net/person/1171
https://usaybia.net/person/118	son of	https://usaybia.net/person/841
https://usaybia.net/person/123	author of lines ascribed to	https://usaybia.net/person/1125
https://usaybia.net/person/124	contemporary of	https://usaybia.net/person/1125
https://usaybia.net/person/127	student of	https://usaybia.net/person/1919
https://usaybia.net/person/128	brother of	https://usaybia.net/person/376
https://usaybia.net/person/129	source of	https://usaybia.net/person/2182
https://usaybia.net/person/132	commentator on	https://usaybia.net/person/899
https://usaybia.net/person/133	patron of	https://usaybia.net/person/1125
https://usaybia.net/person/134	son of	https://usaybia.net/person/2258
https://usaybia.net/person/135	son of	https://usaybia.net/person/762
https://usaybia.net/person/140	physician serving	https://usaybia.net/person/1981
https://usaybia.net/person/150	pupil of	https://usaybia.net/person/139
https://usaybia.net/person/155	patient of	https://usaybia.net/person/186
https://usaybia.net/person/157	teacher of	https://usaybia.net/person/1594
https://usaybia.net/person/158	student of	https://usaybia.net/person/1136
https://usaybia.net/person/159	paternal uncle of	https://usaybia.net/person/32
https://usaybia.net/person/160	student of	https://usaybia.net/person/916
https://usaybia.net/person/166	uncle of	https://usaybia.net/person/1070
https://usaybia.net/person/167		https://usaybia.net/person/1981
https://usaybia.net/person/170	vizier of	https://usaybia.net/person/598
https://usaybia.net/person/173	protector of	https://usaybia.net/person/1125
https://usaybia.net/person/176	father of	https://usaybia.net/person/292
https://usaybia.net/person/181	companion of	https://usaybia.net/person/1145
https://usaybia.net/person/184	serving	https://usaybia.net/person/1579
https://usaybia.net/person/190	son of	https://usaybia.net/person/1066
https://usaybia.net/person/194	teacher of	https://usaybia.net/person/1053
https://usaybia.net/person/196	patron of	https://usaybia.net/person/1125
https://usaybia.net/person/199	son of	https://usaybia.net/person/1139
https://usaybia.net/person/200	shaykh of	https://usaybia.net/person/1589
https://usaybia.net/person/203	teacher of	https://usaybia.net/person/1191
https://usaybia.net/person/207	secretary to	https://usaybia.net/person/177
https://usaybia.net/person/210	collaborator of	https://usaybia.net/person/943
https://usaybia.net/person/213	son of	https://usaybia.net/person/104
https://usaybia.net/person/214	courtier of	https://usaybia.net/person/841
https://usaybia.net/person/216	recipient of a treatise by	https://usaybia.net/person/1919
https://usaybia.net/person/217		https://usaybia.net/person/881
https://usaybia.net/person/221	contemporary of	https://usaybia.net/person/1125
https://usaybia.net/person/222	pupil of	https://usaybia.net/person/2116
https://usaybia.net/person/229	brother of	https://usaybia.net/person/1497
https://usaybia.net/person/237	captain of the guard under	https://usaybia.net/person/495
https://usaybia.net/person/238	father of	https://usaybia.net/person/32
https://usaybia.net/person/257	son of	https://usaybia.net/person/356
https://usaybia.net/person/258	physician to	https://usaybia.net/person/1755
https://usaybia.net/person/261	physician of	https://usaybia.net/person/1981
https://usaybia.net/person/266	student of	https://usaybia.net/person/1125
https://usaybia.net/person/269		https://usaybia.net/person/1981
https://usaybia.net/person/270	companion of	https://usaybia.net/person/401
https://usaybia.net/person/271	contemporary of	https://usaybia.net/person/1022
https://usaybia.net/person/277	son of	https://usaybia.net/person/1096
https://usaybia.net/person/280	patient of	https://usaybia.net/person/926
https://usaybia.net/person/289	patron of	https://usaybia.net/person/1125
https://usaybia.net/person/290	secretary to	https://usaybia.net/person/1706
