New URI	LHOM Name element persName	LHOM Name att xml--id	LHOM Name att xml--lang	LHOM Name att srophe-tags	LHOM Name att source	LHOM Name att resp	Name (complete, Arabic, from Mueller index) element persName	Name (complete, Arabic, from Mueller index) att xml--id	Name (complete, Arabic, from Mueller index) att xml--lang	Name (complete, Arabic, from Mueller index) att source	Name (complete, Arabic, from Mueller index) att resp	Name (complete, EI3 transcription based on Mueller index) element persName	Name (complete, EI3 transcription based on Mueller index) att xml--id	Name (complete, EI3 transcription based on Mueller index) att xml--lang	Name (complete, EI3 transcription based on Mueller index) att source	Name (complete, EI3 transcription based on Mueller index) att resp	LHOM Name 1 (transcription) element persName	LHOM Name 1 (transcription) att xml--id	LHOM Name 1 (transcription) att xml--lang	LHOM Name 1 (transcription) att source	LHOM Name 1 (transcription) att resp	LHOM Name 1 (Arabic) element persName	LHOM Name 1 (Arabic) att xml--id	LHOM Name 1 (Arabic) att xml--lang	LHOM Name 1 (Arabic) att srophe-tags	LHOM Name 1 (Arabic) att source	LHOM Name 1 (Arabic) att resp	LHOM Name 2(transcription) element persName	LHOM Name 2(transcription) att xml--id	LHOM Name 2(transcription) att xml--lang	LHOM Name 2(transcription) att source	LHOM Name 2(transcription) att resp	LHOM Name 2 (Arabic) element persName	LHOM Name 2 (Arabic) att xml--id	LHOM Name 2 (Arabic) att xml--lang	LHOM Name 2 (Arabic) att srophe-tags	LHOM Name 2 (Arabic) att source	LHOM Name 2 (Arabic) att resp	Name 2 element persName	Name 2 att xml--id	Name 2 att xml--lang	Name 2 att source	Name 2 att resp	Name 3 element persName	Name 3 att xml--id	Name 3 att xml--lang	Name 3 att source	Name 3 att resp	Created Arabic Names element persName	Created Arabic Names att xml--id	Created Arabic Names att xml--lang	Created Arabic Names att srophe-tags	Created Arabic Names att resp	LHOM Entry element note	LHOM Entry att xml--id	LHOM Entry att xml--lang	LHOM Entry att type	LHOM Entry att source	LHOM Entry att resp	Usaybia URI element idno	Usaybia URI att type	URI 1 element idno	URI 1 att type	URI 1 att resp	URI 2 element idno	URI 2 att type	URI 2 att resp	URI 3 element idno	URI 3 att type	URI 3 att resp	URI 4 element idno	URI 4 att type	URI 4 att resp	URI 5 element idno	URI 5 att type	URI 5 att resp	URI 6 element idno	URI 6 att type	URI 6 att resp	URI 7 element idno	URI 7 att type	URI 7 att resp	URI 8 element idno	URI 8 att type	URI 8 att resp	Occupation 1 element state	Occupation 1 att xml--lang	Occupation 1 att type	Occupation 1 att role	Occupation 1 att source	Occupation 1 att resp	child Occupation 1 element desc	Occupation 2 element state	Occupation 2 att xml--lang	Occupation 2 att type	Occupation 2 att role	Occupation 2 att source	Occupation 2 att resp	child Occupation 2 element desc	Occupation 3 element state	Occupation 3 att xml--lang	Occupation 3 att type	Occupation 3 att role	Occupation 3 att source	Occupation 3 att resp	child Occupation 3 element desc	Occupation 4 element state	Occupation 4 att xml--lang	Occupation 4 att type	Occupation 4 att role	Occupation 4 att source	Occupation 4 att resp	child Occupation 4 element desc	Affiliation signaled by occupation element state	Affiliation signaled by occupation att xml--lang	Affiliation signaled by occupation att type	Affiliation signaled by occupation att resp	Affiliation signaled by occupation att evidence	Affiliation signaled by occupation att cert	child Affiliation signaled by occupation element label	Affiliation signaled by descendant's name or kunya element state	Affiliation signaled by descendant's name or kunya att xml--lang	Affiliation signaled by descendant's name or kunya att type	Affiliation signaled by descendant's name or kunya att resp	Affiliation signaled by descendant's name or kunya att evidence	Affiliation signaled by descendant's name or kunya att cert	child Affiliation signaled by descendant's name or kunya element label	Affiliation signaled by ancestor's name element state	Affiliation signaled by ancestor's name att xml--lang	Affiliation signaled by ancestor's name att type	Affiliation signaled by ancestor's name att resp	Affiliation signaled by ancestor's name att evidence	Affiliation signaled by ancestor's name att cert	child Affiliation signaled by ancestor's name element label	Affiliation signaled by given name element state	Affiliation signaled by given name att xml--lang	Affiliation signaled by given name att type	Affiliation signaled by given name att resp	Affiliation signaled by given name att evidence	Affiliation signaled by given name att cert	child Affiliation signaled by given name element label	Affiliation in nisba element state	Affiliation in nisba att xml--lang	Affiliation in nisba att type	Affiliation in nisba att resp	Affiliation in nisba att evidence	Affiliation in nisba att cert	child Affiliation in nisba element label	Suggested Affiliation Keywords element state	Suggested Affiliation Keywords att xml--lang	Suggested Affiliation Keywords att type	Suggested Affiliation Keywords att resp	Suggested Affiliation Keywords att source	child Suggested Affiliation Keywords element label	Source 1 element bibl	Source 1 att xml--id	child Source 1 Title element title	child Source 1 Title att level	child Source 1 URI element ptr	child Source 1 URI att target	child Source 1 LHOM Section element citedRange	child Source 1 LHOM Section att unit	child Source 1 LHOM Section Number 2 element citedRange	child Source 1 LHOM Section Number 2 att unit	child Source 1 LHOM Section Number 1 element citedRange	child Source 1 LHOM Section Number 1 att unit	Source 2 element bibl	Source 2 att xml--id	child Source 2 Title element title	child Source 2 Title att xml--lang	child Source 2 Title att level	child Source 2 URI element ptr	child Source 2 URI att target	changelog	name checking credit	arabic checking credit
***lookup column	5					10	40					41					43					44						46					47						60					61					83				82	6					10			50			51			52			53			54			55			56			57						23			23				24			24				25			25				26			26							27							28							29							30							31						32						77	9		45		42								78	84	10	82
***default values			en-x-lhom						ar		#rschmahl #mtolay			en-x-ei3		#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			ar			#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			ar			#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			ar					en	abstract				URI		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay	_	en	occupation			#vbirkhahn #ngibson		_	en	occupation			#vbirkhahn #ngibson		_	en	occupation			#vbirkhahn #ngibson		_	en	occupation			#vbirkhahn #ngibson		_	en	religious-affiliation	#ngibson	occupation	high		_	en	religious-affiliation	#ngibson	descendant-name	low		_	en	religious-affiliation	#ngibson	ancestor-name	low		_	en	religious-affiliation	#ngibson	given-name	low		_	en	religious-affiliation	#ngibson	nisba	high		_	en	religious-affiliation	#vbirkhahn #ngibson			_		A literary history of medicine: the 'Uyūn al-anbā' fī ṭabaqāt al-aṭibbā' of Ibn Abī Uṣaybi'ah	m				section		section		section	_		عيون الأنباء في طبقات الأطباء	ar	m					
1	ʿAbbād ibn ʿAbbās	name1-1	en-x-lhom	#syriaca-headword	#bib1-1	#fioppolo			ar		#rschmahl #mtolay			en-x-ei3		#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			ar			#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			ar			#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay	عباد بن عباس	name1-2	ar	#syriaca-headword	#hfriedel	ʿAbbād ibn ʿAbbās, unidentified physician, addressee of Ibn Mandawayh al-Iṣfahānī 	abstract-en-1	en	abstract	#bib1-1	#fioppolo	https://usaybia.net/person/1	URI		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay	_	en	occupation	physician	#bib1-1	#vbirkhahn #ngibson	physician		en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	religious-affiliation	#ngibson	occupation	high			en	religious-affiliation	#ngibson	descendant-name	low			en	religious-affiliation	#ngibson	ancestor-name	low			en	religious-affiliation	#ngibson	given-name	low			en	religious-affiliation	#ngibson	nisba	high			en	religious-affiliation	#vbirkhahn #ngibson			_	bib1-1	A literary history of medicine: the 'Uyūn al-anbā' fī ṭabaqāt al-aṭibbā' of Ibn Abī Uṣaybi'ah	m	_	https://usaybia.net/bibl/WVSJMDSV	11.16.1.2.7	section		section		section		bib1-2	عيون الأنباء في طبقات الأطباء	ar	m	_	https://usaybia.net/bibl/6RJQF8FK	1,2,3,6	#fioppolo	#hfriedel
2	al-ʿAbbās	name2-1	en-x-lhom	#syriaca-headword	#bib2-1	#fioppolo			ar		#rschmahl #mtolay			en-x-ei3		#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			ar			#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			ar			#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay	العباس	name2-2	ar	#syriaca-headword	#hfriedel	al-ʿAbbās, unidentified agent of Ibrāhīm ibn al-Aghlab 	abstract-en-2	en	abstract	#bib2-1	#fioppolo	https://usaybia.net/person/2	URI		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay	_	en	occupation	agent	#bib2-1	#vbirkhahn #ngibson	agent		en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	religious-affiliation	#ngibson	occupation	high			en	religious-affiliation	#ngibson	descendant-name	low			en	religious-affiliation	#ngibson	ancestor-name	low			en	religious-affiliation	#ngibson	given-name	low			en	religious-affiliation	#ngibson	nisba	high			en	religious-affiliation	#vbirkhahn #ngibson			_	bib2-1	A literary history of medicine: the 'Uyūn al-anbā' fī ṭabaqāt al-aṭibbā' of Ibn Abī Uṣaybi'ah	m	_	https://usaybia.net/bibl/WVSJMDSV	13.1.1 no. 9	section		section		section		bib2-2	عيون الأنباء في طبقات الأطباء	ar	m	_	https://usaybia.net/bibl/6RJQF8FK	1,2,3,6	#fioppolo	#hfriedel
3	al-ʿAbbās (ibn ʿAbd al-Muṭṭalib) 	name3-1	en-x-lhom	#syriaca-headword	#bib3-1	#fioppolo			ar		#rschmahl #mtolay			en-x-ei3		#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			ar			#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			ar			#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay	العباس بن عبد المطلب	name3-2	ar	#syriaca-headword	#hfriedel	al-ʿAbbās (ibn ʿAbd al-Muṭṭalib) – uncle of Muḥammad, ancestor of the Abbasids (d. ca. 32/653) 	abstract-en-3	en	abstract	#bib3-1	#fioppolo	https://usaybia.net/person/3	URI		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	religious-affiliation	#ngibson	occupation	high			en	religious-affiliation	#ngibson	descendant-name	low			en	religious-affiliation	#ngibson	ancestor-name	low			en	religious-affiliation	#ngibson	given-name	low			en	religious-affiliation	#ngibson	nisba	high			en	religious-affiliation	#vbirkhahn #ngibson			_	bib3-1	A literary history of medicine: the 'Uyūn al-anbā' fī ṭabaqāt al-aṭibbā' of Ibn Abī Uṣaybi'ah	m	_	https://usaybia.net/bibl/WVSJMDSV	10.68.2.1(p)	section		section		section		bib3-2	عيون الأنباء في طبقات الأطباء	ar	m	_	https://usaybia.net/bibl/6RJQF8FK	1,2,3,6	#fioppolo	#hfriedel
4	al-ʿAbbās ibn ʿAlī ibn al-Mahdī (Abū Quraysh)	name4-1	en-x-lhom	#syriaca-headword	#bib4-1	#fioppolo			ar		#rschmahl #mtolay			en-x-ei3		#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			ar			#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			ar			#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay	العباس بن علي بن المهدي أبو قريش	name4-2	ar	#syriaca-headword	#hfriedel	al-ʿAbbās ibn ʿAlī ibn al-Mahdī (Abū Quraysh), grandson of al-Mahdī, nephew of Mūsā al-Hādī and Hārūn al-Rashīd 	abstract-en-4	en	abstract	#bib4-1	#fioppolo	https://usaybia.net/person/4	URI		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	religious-affiliation	#ngibson	occupation	high			en	religious-affiliation	#ngibson	descendant-name	low			en	religious-affiliation	#ngibson	ancestor-name	low			en	religious-affiliation	#ngibson	given-name	low			en	religious-affiliation	#ngibson	nisba	high			en	religious-affiliation	#vbirkhahn #ngibson			_	bib4-1	A literary history of medicine: the 'Uyūn al-anbā' fī ṭabaqāt al-aṭibbā' of Ibn Abī Uṣaybi'ah	m	_	https://usaybia.net/bibl/WVSJMDSV	8.8.2	section		section		section		bib4-2	عيون الأنباء في طبقات الأطباء	ar	m	_	https://usaybia.net/bibl/6RJQF8FK	1,2,3,6	#fioppolo	#hfriedel
5	al-ʿAbbās ibn al-Maʾmūn	name5-1	en-x-lhom	#syriaca-headword	#bib5-1	#fioppolo			ar		#rschmahl #mtolay			en-x-ei3		#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			ar			#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			ar			#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay	العباس بن المأمون	name5-2	ar	#syriaca-headword	#hfriedel	al-ʿAbbās ibn al-Maʾmūn, household of al-Muʿtaṣim (ca. 221/836) 	abstract-en-5	en	abstract	#bib5-1	#fioppolo	https://usaybia.net/person/5	URI		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	religious-affiliation	#ngibson	occupation	high			en	religious-affiliation	#ngibson	descendant-name	low			en	religious-affiliation	#ngibson	ancestor-name	low			en	religious-affiliation	#ngibson	given-name	low			en	religious-affiliation	#ngibson	nisba	high			en	religious-affiliation	#vbirkhahn #ngibson			_	bib5-1	A literary history of medicine: the 'Uyūn al-anbā' fī ṭabaqāt al-aṭibbā' of Ibn Abī Uṣaybi'ah	m	_	https://usaybia.net/bibl/WVSJMDSV	8.20.5	section		section		section		bib5-2	عيون الأنباء في طبقات الأطباء	ar	m	_	https://usaybia.net/bibl/6RJQF8FK	1,2,3,6	#fioppolo	#hfriedel
6	al-ʿAbbās ibn Muḥammad	name6-1	en-x-lhom	#syriaca-headword	#bib6-1	#fioppolo			ar		#rschmahl #mtolay			en-x-ei3		#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			ar			#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			ar			#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay	العباس بن محمد	name6-2	ar	#syriaca-headword	#hfriedel	al-ʿAbbās ibn Muḥammad, brother of al-Manṣūr 	abstract-en-6	en	abstract	#bib6-1	#fioppolo	https://usaybia.net/person/6	URI		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	religious-affiliation	#ngibson	occupation	high			en	religious-affiliation	#ngibson	descendant-name	low		_	en	religious-affiliation	#ngibson	ancestor-name	low	Muslim		en	religious-affiliation	#ngibson	given-name	low			en	religious-affiliation	#ngibson	nisba	high			en	religious-affiliation	#vbirkhahn #ngibson			_	bib6-1	A literary history of medicine: the 'Uyūn al-anbā' fī ṭabaqāt al-aṭibbā' of Ibn Abī Uṣaybi'ah	m	_	https://usaybia.net/bibl/WVSJMDSV	8.3.18	section		section		section		bib6-2	عيون الأنباء في طبقات الأطباء	ar	m	_	https://usaybia.net/bibl/6RJQF8FK	1,2,3,5,6	#fioppolo	#hfriedel
7	al-ʿAbbāsah bint al-Mahdī ibn Abī Jaʿfar al-Manṣūr	name7-1	en-x-lhom	#syriaca-headword	#bib7-1	#fioppolo			ar		#rschmahl #mtolay			en-x-ei3		#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			ar			#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			ar			#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay	 العباسة بنت المهدي بن أبي جعفر المنصور	name7-2	ar	#syriaca-headword	#hfriedel	al-ʿAbbāsah bint al-Mahdī ibn Abī Jaʿfar al-Manṣūr, 2nd/8th-c. daughter of al-Mahdī, sister of Hārūn al-Rashīd, wife of Khālid ibn Barmak and Ibrāhīm ibn Ṣāliḥ ibn ʿAlī 	abstract-en-7	en	abstract	#bib7-1	#fioppolo	https://usaybia.net/person/7	URI		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	religious-affiliation	#ngibson	occupation	high			en	religious-affiliation	#ngibson	descendant-name	low			en	religious-affiliation	#ngibson	ancestor-name	low			en	religious-affiliation	#ngibson	given-name	low			en	religious-affiliation	#ngibson	nisba	high			en	religious-affiliation	#vbirkhahn #ngibson			_	bib7-1	A literary history of medicine: the 'Uyūn al-anbā' fī ṭabaqāt al-aṭibbā' of Ibn Abī Uṣaybi'ah	m	_	https://usaybia.net/bibl/WVSJMDSV	8.3.22; 12.6	section		section		section		bib7-2	عيون الأنباء في طبقات الأطباء	ar	m	_	https://usaybia.net/bibl/6RJQF8FK	1,2,3,6	#fioppolo	#hfriedel
8	ʿAbd Allāh	name8-1	en-x-lhom	#syriaca-headword	#bib8-1	#fioppolo			ar		#rschmahl #mtolay			en-x-ei3		#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			ar			#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			ar			#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay			en-x-lhom		#rschmahl #mtolay	عبد الله	name8-2	ar	#syriaca-headword	#hfriedel	ʿAbd Allāh, advisor to al-Muntaṣir 	abstract-en-8	en	abstract	#bib8-1	#fioppolo	https://usaybia.net/person/8	URI		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay		URI	#rschmahl #mtolay	_	en	occupation	advisor	#bib8-1	#vbirkhahn #ngibson	advisor		en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	occupation			#vbirkhahn #ngibson			en	religious-affiliation	#ngibson	occupation	high			en	religious-affiliation	#ngibson	descendant-name	low			en	religious-affiliation	#ngibson	ancestor-name	low			en	religious-affiliation	#ngibson	given-name	low			en	religious-affiliation	#ngibson	nisba	high			en	religious-affiliation	#vbirkhahn #ngibson			_	bib8-1	A literary history of medicine: the 'Uyūn al-anbā' fī ṭabaqāt al-aṭibbā' of Ibn Abī Uṣaybi'ah	m	_	https://usaybia.net/bibl/WVSJMDSV	8.4.3	section		section		section		bib8-2	عيون الأنباء في طبقات الأطباء	ar	m	_	https://usaybia.net/bibl/6RJQF8FK	1,2,3,6	#fioppolo	#hfriedel
