ID	URI	Index Page	Entry	Name (auto)	Name (curated)	Identity (auto)	Identity (curated)	Refs	Alternate Names	Alternate Names (auto)	Alternate Names (curated)	Cross-Ref 1	Cross-Ref 2	Cross-Ref 3	Match 1	Match 2	Match 3	Related Place	Related Place URI	Sort	Place Type (auto)	Place Type (curated)	Multiple?
1	https://usaybia.net/place/1	460	al-ʿAbbāsah, a town in Egypt favoured by Ayyubids as a retreat for hunting and fishing	al-ʿAbbāsah	al-ʿAbbāsah	a town in Egypt favoured by Ayyubids as a retreat for hunting and fishing	a town in Egypt favoured by Ayyubids as a retreat for hunting and fishing	14.54.4												1	settlement	settlement	
2	https://usaybia.net/place/2	460	Abdera, ancient Greek city	Abdera	Abdera	ancient Greek city	ancient Greek city	4.1.2; 4.1.9.2												2	settlement	settlement	
		460	Abīward `see` Bāward	Abīward	Abīward							Bāward			Bāward					3	#N/A	#N/A	
3	https://usaybia.net/place/3	460	Abū Hurayra, village west of al-Raqqah	Abū Hurayra	Abū Hurayra	village west of al-Raqqah	village west of al-Raqqah	14.50n												4	settlement	settlement	
4	https://usaybia.net/place/4	460	Abū Najīḥ Street (Sikkat Abī Najīḥ), in Mosul	Abū Najīḥ Street	Abū Najīḥ Street	in Mosul	in Mosul	10.81.2		Sikkat Abī Najīḥ	Sikkat Abī Najīḥ									5	designated-space	designated-space	
5	https://usaybia.net/place/5	460	Acragas, ancient Greek city in Sicily, the modern Agrigento	Acragas	Acragas	ancient Greek city in Sicily, the modern Agrigento	ancient Greek city in Sicily, the modern Agrigento	3.4n; 3.5n; 4.1.11.3n; 4.3.4.2n	Agrigento											6	settlement	settlement	
6	https://usaybia.net/place/6	460	Acre (Akko, ʿAkkā), a city in the northern coastal plain of modern-day Israel	Acre	Acre	a city in the northern coastal plain of modern-day Israel	a city in the northern coastal plain of modern-day Israel	15.11.2; 15.11.2.1; 15.40.3	ʿAkkā	Akko, ʿAkkā	Akko, ʿAkkā									7	settlement	settlement	
		460	Ādharbayjān `see` Azerbaijan	Ādharbayjān	Ādharbayjān							Azerbaijan			Azerbaijan					8	#N/A	#N/A	
7	https://usaybia.net/place/7	460	al-ʿĀdiliyyah Law College (al-Madrasah al-ʿĀdiliyyah), in Damascus	al-ʿĀdiliyyah Law College	al-ʿĀdiliyyah Law College	in Damascus	in Damascus	15.19	al-Madrasah al-ʿĀdiliyyah	al-Madrasah al-ʿĀdiliyyah	al-Madrasah al-ʿĀdiliyyah									9	madrasa	madrasa	
8	https://usaybia.net/place/8	460	ʿAḍudī Hospital (al-Bīmāristān al-ʿAḍudī), in Baghdad	ʿAḍudī Hospital	ʿAḍudī Hospital	in Baghdad	in Baghdad	10.31; 10.32; 10.33; 10.37.1; 10.37.2; 10.42; 10.58.3; 10.72n; 10.79; 11.5.2; 11.5.3; 11.5.4; 11.5.5; 11.5.6; 11.5.7; 14.22.5.1n; 15.3.1n; 15.13n		al-Bīmāristān al-ʿAḍudī	al-Bīmāristān al-ʿAḍudī									10	hospital	hospital	
9	https://usaybia.net/place/9	460	Aegina, Greek island	Aegina	Aegina	Greek island	Greek island	4.1.9.2n; 4.1.11.3n; 8.29.22n												11	island	island	
		460	Afqah `see` Maghārat Afqah	Afqah	Afqah							Maghārat Afqah			Maghārat Afqah					12	#N/A	#N/A	
		460	Afrūjiyyā `see` Phrygia	Afrūjiyyā	Afrūjiyyā							Phrygia			Phrygia					13	#N/A	#N/A	
10	https://usaybia.net/place/10	460	Afshanah, a village near Bokhara, birthplace of Ibn Sīnā	Afshanah	Afshanah	a village near Bokhara, birthplace of Ibn Sīnā	a village near Bokhara, birthplace of Ibn Sīnā	11.13.2.1												14	settlement	settlement	
11	https://usaybia.net/place/11	460	Āghmāt, town in mid-southern Morocco	Āghmāt	Āghmāt	town in mid-southern Morocco	town in mid-southern Morocco	13.66.3n												15	settlement	settlement	
		460	Agrigento `see` Acragas	Agrigento	Agrigento							Acragas			Acragas					16	#N/A	#N/A	
		460	Ahlat `see` Khilāṭ	Ahlat	Ahlat							Khilāṭ			Khilāṭ					17	#N/A	#N/A	
