URI	Index Page	Entry	Refs	Alternate Names	Alternate Names (curated)	Cross-Ref 1	Cross-Ref 2	Cross-Ref 3
https://usaybia.net/place/1	460	al-ʿAbbāsah, a town in Egypt favoured by Ayyubids as a retreat for hunting and fishing	14.54.4					
https://usaybia.net/place/2	460	Abdera, ancient Greek city	"4.1.2; 4.1.9.2"					
	460	Abīward `see` Bāward				Bāward		
https://usaybia.net/place/3	460	Abū Hurayra, village west of al-Raqqah	14.50n					
https://usaybia.net/place/4	460	Abū Najīḥ Street (Sikkat Abī Najīḥ), in Mosul	10.81.2		Sikkat Abī Najīḥ			
https://usaybia.net/place/5	460	Acragas, ancient Greek city in Sicily, the modern Agrigento	"3.4n; 3.5n; 4.1.11.3n; 4.3.4.2n"	Agrigento				
https://usaybia.net/place/6	460	Acre (Akko, ʿAkkā), a city in the northern coastal plain of modern-day Israel	"15.11.2; 15.11.2.1; 15.40.3"	ʿAkkā	Akko, ʿAkkā			
	460	Ādharbayjān `see` Azerbaijan				Azerbaijan		
https://usaybia.net/place/7	460	al-ʿĀdiliyyah Law College (al-Madrasah al-ʿĀdiliyyah), in Damascus	15.19	al-Madrasah al-ʿĀdiliyyah	al-Madrasah al-ʿĀdiliyyah			
https://usaybia.net/place/8	460	ʿAḍudī Hospital (al-Bīmāristān al-ʿAḍudī), in Baghdad	"10.31; 10.32; 10.33; 10.37.1; 10.37.2; 10.42; 10.58.3; 10.72n; 10.79; 11.5.2; 11.5.3; 11.5.4; 11.5.5; 11.5.6; 11.5.7; 14.22.5.1n; 15.3.1n; 15.13n"		al-Bīmāristān al-ʿAḍudī			
https://usaybia.net/place/9	460	Aegina, Greek island	"4.1.9.2n; 4.1.11.3n; 8.29.22n"					
	460	Afqah `see` Maghārat Afqah				Maghārat Afqah		
	460	Afrūjiyyā `see` Phrygia				Phrygia		
https://usaybia.net/place/10	460	Afshanah, a village near Bokhara, birthplace of Ibn Sīnā	11.13.2.1					
https://usaybia.net/place/11	460	Āghmāt, town in mid-southern Morocco	13.66.3n					
	460	Agrigento `see` Acragas				Acragas		
	460	Ahlat `see` Khilāṭ				Khilāṭ		
https://usaybia.net/place/12	460	al-Ahwāz (or Ahvaz), an early important commercial town on the river Kārūn (or Dujayl) situated halfway between Baghdad and Shiraz	"8.3.10; 8.3.14; 8.15.1; 10.25; 11.16 no. 1.33; 14.22.4.3 no. 23; 14.22.4.4"		Ahvaz			
https://usaybia.net/place/13	460	ʿAjlūn (Ajloun), a hilly town in the north of present-day Jordan	"15.51.5; 15.60.1"		Ajloun			
https://usaybia.net/place/14	460	Akhmīm, city in Upper Egypt, the ancient Panopolis	2.1.4n					
	460	ʿAkkā, Akko `see` Acre				Acre		
https://usaybia.net/place/15	460	Alarcos, city in today’s province of Ciudad Real (Spain)	13.66.3n					
https://usaybia.net/place/16	460	Alburz, mountain range in northern Persia	8.20.11n					
https://usaybia.net/place/17	460	Aleppo (Ḥalab, Greek Beroea), city in Syria	"5.1.19; 8.26.10n; 10.38.2; 10.69.4 no. 5n; 11.21 no. 6; 14.21 no. 3; 14.22.3.2; 14.49.2n; 15.1.5 no. 72; 15.2n; 15.5; 15.6; 15.7; 15.12; 15.15; 15.16; 15.18.1; 15.18.1.3; 15.18.1.4; 15.23.2.1; 15.30; 15.31; 15.32; 15.40.5; 15.40.6; 15.40.7; 15.40.9 nos. 24, 73, 78, 85, 168; 15.41; 15.45.3; 15.49.3; 15.50.6; 15.51.1; 15.51.4n; 15.54"	Ḥalab	Ḥalab, Beroea			
https://usaybia.net/place/18	460	Alexandria (al-Iskandariyyah)	"4.1.10.3n; 4.1.11.2; 4.1.11.3; 5.1.21.1; 5.1.25; 5.1.26; 5.1.37 no. 115; 6.1.1; 6.1.2; 6.1.3 (Museum/ House of Knowledge); 7.1.5n; 7.4; 8.19.1n; 8.29.9; 11.8.6 no. 15; 13.51.3; 13.51.4 no. 3; 13.58.2.1; 13.58.4.2; 13.86.2; 14.1; 14.11; 14.25.2n; 14.26.3 no. 2; 14.32.5 no. 3; 14.54.10; 15.1.2; 15.31.1; 15.33"	al-Iskandariyyah	al-Iskandariyyah			
https://usaybia.net/place/19	460	ʿĀlij, of uncertain location, often said to be a sandy tract in Arabia	10.69.3.10(p)					
https://usaybia.net/place/20	460	ʿĀliqīn, location outside of Damascus	14.38.1n					
https://usaybia.net/place/21	460	Almeria (Almería, al-Mariyyah), town in al-Andalus	"13.30; 15.8.1n"	al-Mariyyah	Almería, al-Mariyyah			
https://usaybia.net/place/22	461	al-ʿAlth, town north of Baghdad, on the east bank of the Tigris	8.25.7					
https://usaybia.net/place/23	461	Alzira (Jazīrat al-Shuqar), city in the province of Valencia (Spain)	13.84	Jazīrat al-Shuqar	Jazīrat al-Shuqar			
https://usaybia.net/place/24	461	Amida (Āmid), an ancient town in eastern Anatolia	"10.2.3.1; 10.10.5; 10.75.3; 11.13.7.9(p); 15.22n; 15.56.1"		Āmid			
https://usaybia.net/place/25	461	al-Amīniyyah Law College (al-Madrasah al-Amīniyyah), in Damascus	15.34	al-Madrasah al-Amīniyyah	al-Madrasah al-Amīniyyah			
https://usaybia.net/place/26	461	"ʿAmmūriyah (Amorion/Amorium; Syriac Amūrīn), stronghold on the military road from Constantinople to Cilicia, southwest of Ankara"	"8.26.3; 8.26.5; 8.29.3n"	Amorion	Amorion, Amorium			
	461	Amorion/Amorium `see` ʿAmmūriyah				ʿAmmūriyah		
https://usaybia.net/place/27	461	ʿAmtā, small village in Jordan	15.51.5					
https://usaybia.net/place/28	461	"Anatolia (Bilād al-Rūm; `see also` Asia Minor)"	"10.82; 15.40.5"	Bilād al-Rūm	Bilād al-Rūm			
	461	Anazarbus, Anazarba `see` ʿAyn Zarbah				ʿAyn Zarbah		
https://usaybia.net/place/29	461	al-Anbār (Greek Bērsabōra), important town on the left bank of the Euphrates near Baghdad	"8.3.16; 5.16.1"		Bērsabōra			
https://usaybia.net/place/30	461	Ancyra, the modern Ankara	8.26.3					
https://usaybia.net/place/31	461	al-Andalus, Islamic Spain and Portugal	"1.7n; 8.3.6; 8.19.2n; 10.9.1n; 13 `passim`; 14.6n; 14.27.2n; 15.11.1"					
	461	Anṭākiyah `see` Antioch				Antioch		
https://usaybia.net/place/32	461	Antioch (Anṭākiyah, Antakya), ancient town in northern Syria (now in Turkey)	"5.1.8.2; 6.1.3; 7.4; 10.38.6 no. 7; 10.61; 14.3; 14.4.1; 14.27.3; 15.1.2"	Anṭākiyah	Anṭākiyah, Antakya			
https://usaybia.net/place/33	461	Apamea, Greek city in north-west Syria	4.10.1.3n					
https://usaybia.net/place/34	461	Aphrodisias, ancient Greek city in south-western Anatolia	"4.1.10.5; 4.1.11.3; 4.8; 4.8.2"					
https://usaybia.net/place/35	461	ʿAqrabāʾ, a locality near the Syrian city of Damascus	15.32					
https://usaybia.net/place/36	461	al-Aqṣā Mosque (al-Jāmiʿ al-Aqṣā), in Jerusalem	15.40.5		al-Jāmiʿ al-Aqṣā			
https://usaybia.net/place/37	461	Aquileia, Roman city of northern Italy Arabian Peninsula	7.5.3n					
	461	Arbil `see` Erbil				Erbil		
https://usaybia.net/place/38	461	Argos, Greek city of the Peloponnese al-ʿArīsh, Egyptian city on the Mediterranean coast of Sinai	7.5.6					
https://usaybia.net/place/39	461	Armenia (Armīniyah), region of the southern Caucasus	"5.1.16.1; 10.44.4; 10.46.4 no. 15"		Armīniyah			
	461	Arzan al-Rūm `see` Erzerum				Erzerum		
	461	Arzanjān `see` Erzinjan				Erzinjan		
https://usaybia.net/place/40	461	Ascalon, coastal city of Palestine	"6.1.1n; 14.33.3n; 15.1.3n"	ʿAsqalān				
https://usaybia.net/place/41	461	"Asia Minor (Bilād al-Rūm; `see also` Anatolia)"	"14.3n; 14.54.11; 14.58.1; 14.58.2"	Bilād al-Rūm	Bilād al-Rūm			
	461	ʿAsqalān `see` Ascalon				Ascalon		
https://usaybia.net/place/42	461	Aswān, town on the eastern bank of the Nile in Upper Egypt	14.22.3.1					
https://usaybia.net/place/43	461	Asyūṭ (Assiut), city of Upper Egypt important for trade and agriculture	5.1.21.1		Assiut			
https://usaybia.net/place/44	461	Atarneus, ancient Greek city in Asia Minor	4.6.2.1					
https://usaybia.net/place/45	461	Athens	"2.1.6.1n; 2.1.6.4n; 4.1.10.2n; 4.1.11.3; 4.4.2.1; 4.4.2.3; 4.4.3; 4.5.1; 4.5.2; 4.6.2.1; 4.6.2.3; 4.6.3.1; 5.1.21.1; 5.1.25n"					
https://usaybia.net/place/46	461	Atlantic Ocean (Baḥr al-Ẓulmah, Sea of Darkness)	13.4n	Baḥr al-Ẓulmah	Baḥr al-Ẓulmah, Sea of Darkness			
https://usaybia.net/place/47	461	al-ʿAttābiyyah, a quarter in Baghdad famous for its cloth called `ʿattābī`	15.18.1.3n					
https://usaybia.net/place/48	461	ʿAydhāb, a once important port on the Red Sea in what is now modern-day Sudan	15.23.2.1					
	461	ʿAyn Jālūt `see` Wādī Kanʿān				Wādī Kanʿān		
https://usaybia.net/place/49	461	ʿAyn Shams, now a suburb of Cairo, the ancient Heliopolis	4.3.4.2	Heliopolis				
https://usaybia.net/place/50	461	ʿAyn Zarbah/Zarbā (Anazarbos, Anazarba), ancient city in south-western Anatolia	"4.1.11.2; 4.1.11.3; 5.1.8.2; 14.29.1"	Anazarbus	Anazarbos, Anazarba			
https://usaybia.net/place/51	461	Azerbaijan (Ādharbayjān), a country in the Caucasus region of Eurasia	"8.11n; 8.20.11n; 11.13.7.9(p); 11.21"	Ādharbayjān	Ādharbayjān			
https://usaybia.net/place/52	461	al-Azhar Mosque (al-Jāmiʿ al-Azhar)	"14.22.2; 14.22.3.1; 15.40.4"		al-Jāmiʿ al-Azhar			
https://usaybia.net/place/53	461	al-ʿAzīziyyah, a region consisting of five villages in Egypt named after the Fatimid caliph al-ʿAzīz	14.54.3					
https://usaybia.net/place/54	461	al-ʿAzīziyyah Law College (al-Madrasah al-ʿAzīziyyah), in Damascus	15.40.5	al-Madrasah al-ʿAzīziyyah	al-Madrasah al-ʿAzīziyyah			
https://usaybia.net/place/55	461	Baalbek (Baʿlabakk, Greek Heliopolis), an ancient settlement and small town in modern-day eastern Lebanon	"5.1.8.2; 15.20; 15.37; 15.48; 15.49.2; 15.51.2; 15.51.4; 15.51.10.1(p); 15.51.11 no. 1; 15.52.1"	Baʿlabakk, Heliopolis	Baʿlabakk, Heliopolis			
https://usaybia.net/place/56	461	Bāb al-Azaj (the ‘Portico Gate’), a quarter in eastern Baghdad with many markets and large businesses	"10.8.4; 10.81.1"	Portico Gate	the ‘Portico Gate’			
https://usaybia.net/place/57	461	Bāb Baradān, one of the gates of Baghdad, located on the Baradān road	"8.10.3; 8.25.7"					
https://usaybia.net/place/58	462	Bāb al-Barīd, district in Damascus	15.57.1					
https://usaybia.net/place/59	462	Bāb al-Farādīs (or Bāb al-Imārah), one of the seven gates of Old Damascus	15.51.4, 8	Bāb al-Imārah	Bāb al-Imārah			
