Sample Number	Internal ID	Person Name	Person Name EN Short	Person Name EN	OA2 URI	Identification	Number of Named/Titled Refs	OA2 Refs to this page?	OA2 Refs to this Entry?	OA2 Refs to this source?	Affiliation(s) from source	Affiliation(s) from OA2	Standardized Affiliation 1	Standardized Affiliation 2	Affiliation Notes	EI Link	Number of Interactions	digraph
1	scholarNET:1	أبقراط	Hippocrates	Hippocrates			8						unspecified			http://dx.doi.org/10.1163/1573-3912_ei3_COM_30480	3	scholarNET:1 [sample=1 affiliation=unspecified] # node 'Hippocrates'
1	scholarNET:2	جالينوس	Galen	Galen			1						unspecified				6	scholarNET:2 [sample=1 affiliation=unspecified] # node 'Galen'
2	scholarNET:3	مهذب الدّين أَبُو نصر مُحَمَّد	Abū Naṣr Muḥammad	Muhadhdhab al-Dīn Abū Naṣr Muḥammad			1	0	0	0			unspecified				6	scholarNET:3 [sample=2 affiliation=unspecified] # node 'Abū Naṣr Muḥammad'
2	scholarNET:4	البديع الإسطرلابي	Al-Badīʿ al-Asṭurlābī	Al-Badīʿ al-Asṭurlābī	http://onomasticon.irht.cnrs.fr/en/entry/id/13808		1	0	0	0			unspecified		Presumably Muslim. Plenty of biographical information. Could maybe find some solid indication. 	http://dx.doi.org/10.1163/1573-3912_islam_SIM_0993	12	scholarNET:4 [sample=2 affiliation=unspecified] # node 'Al-Badīʿ al-Asṭurlābī'
5	scholarNET:5	الشَّيْخ أَبُو البركات, أوحد الزَّمَان 	Abū al-Barakāt	ʾAwḥad al-Zamān Abū al-Barakāt Hibbat Allāh b. ʿAlī b. Malkā al-Baladī	http://onomasticon.irht.cnrs.fr/en/person/21980		11	0	1	1	إِسْلَامه, ذِمِّيا, على غير مِلَّته 	مُسلِم, يَهُودِي 	Jewish	Muslim			37	scholarNET:5 [sample=5 affiliation=Jewish] # node 'Abū al-Barakāt'
5	scholarNET:6	الشَّيْخ موفق الدّين عبد اللَّطِيف الْبَغْدَادِيّ	ʿAbd al-Laṭīf	Al-Shaykh Muwaffaq al-Dīn ʿAbd al-Laṭīf al-Baghdādī	http://onomasticon.irht.cnrs.fr/en/entry/id/14823		2	0	0	0		الشَافِعِي	Muslim			http://dx.doi.org/10.1163/1573-3912_islam_SIM_0102	3	scholarNET:6 [sample=5 affiliation=Muslim] # node 'ʿAbd al-Laṭīf'
5	scholarNET:7	ابْن الدهان المنجم	Ibn al-Dahhān	Ibn al-Dahhān al-Munajjim		? http://onomasticon.irht.cnrs.fr/en/entry/id/9067 but the death date doesn't seem to fit	2						unspecified				3	scholarNET:7 [sample=5 affiliation=unspecified] # node 'Ibn al-Dahhān'
5	scholarNET:8	[ابن ابي اصيبعة]	Ibn Abī ʾUṣaybiʿa	Ibn Abī ʾUṣaybiʿa	http://onomasticon.irht.cnrs.fr/en/entry/id/250369		0	0	0	0			Muslim			http://dx.doi.org/10.1163/1573-3912_islam_SIM_3058	9	scholarNET:8 [sample=5 affiliation=Muslim] # node 'Ibn Abī ʾUṣaybiʿa'
5	scholarNET:9	جمال الدّين بن فضلان	Ibn Faḍlān	Jammāl al-Dīn b. Faḍlān	http://onomasticon.irht.cnrs.fr/en/entry/id/14397		1	0	0	0		الشَافِعِي	Muslim				1	scholarNET:9 [sample=5 affiliation=Muslim] # node 'Ibn Faḍlān'
5	scholarNET:10	يُوسُف وَالِد الشَّيْخ موفق الدّين عبد اللَّطِيف	Yūsuf	Yūsuf, father of al-Shaykh Muwaffaq al-Dīn ʿAbd al-Laṭīf	http://onomasticon.irht.cnrs.fr/en/person/26125	? or http://onomasticon.irht.cnrs.fr/en/person/9679 or http://onomasticon.irht.cnrs.fr/en/person/4020 (these may be duplicates)	1	0	0	0			unspecified				2	scholarNET:10 [sample=5 affiliation=unspecified] # node 'Yūsuf'
5	scholarNET:11	الْمُهَذّب بن النقاش 	Ibn al-Naqqāsh	Al-Muhadhdhab b. al-Naqqāsh		? confused with or related to http://onomasticon.irht.cnrs.fr/en/entry/id/9150 ?	1						unspecified				1	scholarNET:11 [sample=5 affiliation=unspecified] # node 'Ibn al-Naqqāsh'
5	scholarNET:12	الْخَلِيفَة [المستنجد بِاللَّه]	Al-Mustanjid bi-Allāh	Caliph al-Mustanjid bi-Allāh	http://onomasticon.irht.cnrs.fr/en/entry/id/9002		2						Muslim			http://dx.doi.org/10.1163/1573-3912_islam_SIM_5625	3	scholarNET:12 [sample=5 affiliation=Muslim] # node 'Al-Mustanjid bi-Allāh'
5	scholarNET:13	قَاضِي الْقُضَاة	Chief Justice	Chief Justice (Qāḍī al-Quḍā)		?	2						Muslim				1	scholarNET:13 [sample=5 affiliation=Muslim] # node 'Chief Justice'
5	scholarNET:14	الشَّيْخ سعد الدّين أَبُو سعيد بن أبي السهل الْبَغْدَادِيّ العواد 	Ibn Abī al-Sahl	Al-Shaykh Saʿd al-Dīn Abū Saʿīd b. Abī al-Sahl al-Baghdādī al-ʿAwād			1				فِي أول أمره يَهُودِيّا		Jewish				4	scholarNET:14 [sample=5 affiliation=Jewish] # node 'Ibn Abī al-Sahl'
5	scholarNET:15	القَاضِي نجم الدّين عمر بن مُحَمَّد الْمَعْرُوف بِابْن الكريدي	Ibn al-Kuraydī	Al-Qāḍī Najm al-Dīn ʿAmr b. Muḥammad, known as Ibn al-Kuraydī			1						Muslim				2	scholarNET:15 [sample=5 affiliation=Muslim] # node 'Ibn al-Kuraydī'
5	scholarNET:16	أمين الدولة بن التلميذ	Ibn al-Tilmīdh	Amīn al-Dawla b. al-Tilmīdh	onomasticon.irht.cnrs.fr/en/person/21979		3	0	0	3		نَصرَانِي, يَهُودِي 	Christian	Jewish		http://dx.doi.org/10.1163/1573-3912_islam_SIM_3393	5	scholarNET:16 [sample=5 affiliation=Christian] # node 'Ibn al-Tilmīdh'
5	scholarNET:17	بدر الدّين أَبُو الْعِزّ يُوسُف بن مكي	Abū al-ʿIzz	Badr al-Dīn Abū al-ʿIzz Yūsuf b. Makkī	http://onomasticon.irht.cnrs.fr/en/entry/id/250001	?	1	0	0	0			unspecified				2	scholarNET:17 [sample=5 affiliation=unspecified] # node 'Abū al-ʿIzz'
5	scholarNET:18	مهذب الدّين ابْن هُبل	Ibn Habal	Muhadhdhab al-Dīn Ibn Habal	http://onomasticon.irht.cnrs.fr/en/entry/id/4261	duplicates: http://onomasticon.irht.cnrs.fr/en/entry/id/14585 and http://onomasticon.irht.cnrs.fr/en/entry/id/29162	1	0	0	2		الصُوفِي	Muslim			http://dx.doi.org/10.1163/1573-3912_ei3_COM_30821	2	scholarNET:18 [sample=5 affiliation=Muslim] # node 'Ibn Habal'
