source	target	book	part	pg	ch-num	ch-title
آدم	محمد بن آدم الهروي أبو المظفر	 DQ 	 3 	 1498 	13	[backmatter]
ابراهيم الخليل	 علي بن عبد العزيز بن عمرو المعري	 DQ 	 1 	 234 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
ابراهيم الخليل	نظام الملك	 DQ 	 1 	 234 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
 علي بن عبد العزيز بن عمرو المعري	نظام الملك	 DQ 	 1 	 234 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
ابراهيم بن اسماعيل الجرجاني، أبو اسحاق	أبو عامر الجرجاني	 DQ 	 1 	 598 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
ابراهيم بن خلف الأندلسي، أبو الحسين	أبو عامر الجرجاني	 DQ 	 1 	 183 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
ابراهيم بن خلف الأندلسي، أبو الحسين	المظفر بن علي معروف القصري أبو البدر	 DQ 	 1 	 183 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
أبو عامر الجرجاني	المظفر بن علي معروف القصري أبو البدر	 DQ 	 1 	 183 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
ابراهيم بن سعيد، أبو اسحاق	الباخرزي	 DQ 	 2 	 1313 	10	اسفراين
ابراهيم بن عبد الرحمن المعري	المتنبي	 DQ 	 1 	 231 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
ابراهيم بن عبد الرحمن المعري	نظام الملك	 DQ 	 1 	 231 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
المتنبي	نظام الملك	 DQ 	 1 	 231 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
ابراهيم بن عبد الله الطائي	يعقوب بن أحمد النيسابوري	 DQ 	 2 	 1082 	8	طبقات نيسابور
ابراهيم بن عمر الجرباذقاني	العجم	 DQ 	 1 	 467 	4	شعراء الري والجبال واصفهان وفارس وكرمان
ابراهيم بن عمر الجرباذقاني	نظام الملك	 DQ 	 1 	 467 	4	شعراء الري والجبال واصفهان وفارس وكرمان
العجم	نظام الملك	 DQ 	 1 	 467 	4	شعراء الري والجبال واصفهان وفارس وكرمان
ابراهيم بن علي، أبو اسحاق	أبو جعفر البحاثي	 DQ 	 1 	 506 	4	شعراء الري والجبال واصفهان وفارس وكرمان
ابراهيم بن علي، أبو اسحاق	أبو محمد العبدلكاني الزوزني	 DQ 	 1 	 506 	4	شعراء الري والجبال واصفهان وفارس وكرمان
ابراهيم بن علي، أبو اسحاق	أبو هلال العسكري	 DQ 	 1 	 506 	4	شعراء الري والجبال واصفهان وفارس وكرمان
أبو جعفر البحاثي	أبو محمد العبدلكاني الزوزني	 DQ 	 1 	 506 	4	شعراء الري والجبال واصفهان وفارس وكرمان
أبو جعفر البحاثي	أبو هلال العسكري	 DQ 	 1 	 506 	4	شعراء الري والجبال واصفهان وفارس وكرمان
أبو محمد العبدلكاني الزوزني	أبو هلال العسكري	 DQ 	 1 	 506 	4	شعراء الري والجبال واصفهان وفارس وكرمان
ابراهيم بن محمد بن شعيب البكري	أبو محمد العبدلكاني الزوزني	 DQ 	 1 	 57 	1	طبقات شعراء البدو والحجاز
ابراهيم بن محمد بن شعيب البكري	مأمون خوارزم شاه أبو العباس	 DQ 	 1 	 57 	1	طبقات شعراء البدو والحجاز
ابراهيم بن محمد بن شعيب البكري	محمد بن جراح البكري	 DQ 	 1 	 57 	1	طبقات شعراء البدو والحجاز
ابراهيم بن محمد بن شعيب البكري	نصر أبو المظفر صاحب الجيش	 DQ 	 1 	 57 	1	طبقات شعراء البدو والحجاز
أبو محمد العبدلكاني الزوزني	مأمون خوارزم شاه أبو العباس	 DQ 	 1 	 57 	1	طبقات شعراء البدو والحجاز
أبو محمد العبدلكاني الزوزني	محمد بن جراح البكري	 DQ 	 1 	 57 	1	طبقات شعراء البدو والحجاز
أبو محمد العبدلكاني الزوزني	نصر أبو المظفر صاحب الجيش	 DQ 	 1 	 57 	1	طبقات شعراء البدو والحجاز
مأمون خوارزم شاه أبو العباس	محمد بن جراح البكري	 DQ 	 1 	 57 	1	طبقات شعراء البدو والحجاز
مأمون خوارزم شاه أبو العباس	نصر أبو المظفر صاحب الجيش	 DQ 	 1 	 57 	1	طبقات شعراء البدو والحجاز
محمد بن جراح البكري	نصر أبو المظفر صاحب الجيش	 DQ 	 1 	 57 	1	طبقات شعراء البدو والحجاز
ابراهيم بن المدبر	البحتري	 DQ 	 1 	 577 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
ابراهيم بن نبال	طغرلبك	 DQ 	 1 	 288 	3	فضلاء العراق
ابراهيم بن نبال	فنا خسرو بن أبي طاهر بن بهاء الدولة	 DQ 	 1 	 288 	3	فضلاء العراق
ابراهيم بن نبال	يحيى بن نصر السعدي البغدادي	 DQ 	 1 	 288 	3	فضلاء العراق
طغرلبك	فنا خسرو بن أبي طاهر بن بهاء الدولة	 DQ 	 1 	 288 	3	فضلاء العراق
طغرلبك	يحيى بن نصر السعدي البغدادي	 DQ 	 1 	 288 	3	فضلاء العراق
فنا خسرو بن أبي طاهر بن بهاء الدولة	يحيى بن نصر السعدي البغدادي	 DQ 	 1 	 288 	3	فضلاء العراق
ابن قاضي شهبة	ابن قاضي شهبة	 DQ 	 1 	 65 	1	طبقات شعراء البدو والحجاز
ابن قاضي شهبة	البرهاني	 DQ 	 1 	 65 	1	طبقات شعراء البدو والحجاز
ابن قاضي شهبة	تميم بن مفرج الطائي أبو كامل	 DQ 	 1 	 65 	1	طبقات شعراء البدو والحجاز
ابن قاضي شهبة	السرخسي	 DQ 	 1 	 65 	1	طبقات شعراء البدو والحجاز
ابن قاضي شهبة	يعقوب بن أحمد النيسابوري	 DQ 	 1 	 65 	1	طبقات شعراء البدو والحجاز
ابن قاضي شهبة	البرهاني	 DQ 	 1 	 65 	1	طبقات شعراء البدو والحجاز
ابن قاضي شهبة	تميم بن مفرج الطائي أبو كامل	 DQ 	 1 	 65 	1	طبقات شعراء البدو والحجاز
ابن قاضي شهبة	السرخسي	 DQ 	 1 	 65 	1	طبقات شعراء البدو والحجاز
ابن قاضي شهبة	يعقوب بن أحمد النيسابوري	 DQ 	 1 	 65 	1	طبقات شعراء البدو والحجاز
البرهاني	تميم بن مفرج الطائي أبو كامل	 DQ 	 1 	 65 	1	طبقات شعراء البدو والحجاز
البرهاني	السرخسي	 DQ 	 1 	 65 	1	طبقات شعراء البدو والحجاز
البرهاني	يعقوب بن أحمد النيسابوري	 DQ 	 1 	 65 	1	طبقات شعراء البدو والحجاز
تميم بن مفرج الطائي أبو كامل	السرخسي	 DQ 	 1 	 65 	1	طبقات شعراء البدو والحجاز
تميم بن مفرج الطائي أبو كامل	يعقوب بن أحمد النيسابوري	 DQ 	 1 	 65 	1	طبقات شعراء البدو والحجاز
السرخسي	يعقوب بن أحمد النيسابوري	 DQ 	 1 	 65 	1	طبقات شعراء البدو والحجاز
ابن الأثير	أبو جعفر الأنداذي	 DQ 	 2 	 1324 	11	شعراء جام
ابن الأثير	أبو محمد العبدلكاني الزوزني	 DQ 	 2 	 1324 	11	شعراء جام
أبو جعفر الأنداذي	أبو محمد العبدلكاني الزوزني	 DQ 	 2 	 1324 	11	شعراء جام
 أبو محمد الحمداني	أبو محمد الحمداني	 DQ 	 2 	 1187 	10	اسفراين
 أبو محمد الحمداني	أحمد بن ينفع أبو نصر	 DQ 	 2 	 1187 	10	اسفراين
أبو محمد الحمداني	أحمد بن ينفع أبو نصر	 DQ 	 2 	 1187 	10	اسفراين
 ابن ابراهيم أحمد	نصر بن منصور بن أحمد	 DQ 	 2 	 944 	7	شعراء بلخ
ابن أبي ربيعة	ابن الحجاج	 DQ 	 2 	 1375 	12	شعراء زوزن
ابن أبي ربيعة	أحمد بن نيالتكين	 DQ 	 2 	 1375 	12	شعراء زوزن
ابن أبي ربيعة	امرؤ القيس	 DQ 	 2 	 1375 	12	شعراء زوزن
ابن أبي ربيعة	جرير	 DQ 	 2 	 1375 	12	شعراء زوزن
ابن أبي ربيعة	حسان (بن ثابت) 	 DQ 	 2 	 1375 	12	شعراء زوزن
ابن أبي ربيعة	الفرزدق	 DQ 	 2 	 1375 	12	شعراء زوزن
ابن الحجاج	أحمد بن نيالتكين	 DQ 	 2 	 1375 	12	شعراء زوزن
ابن الحجاج	امرؤ القيس	 DQ 	 2 	 1375 	12	شعراء زوزن
ابن الحجاج	جرير	 DQ 	 2 	 1375 	12	شعراء زوزن
ابن الحجاج	حسان (بن ثابت) 	 DQ 	 2 	 1375 	12	شعراء زوزن
ابن الحجاج	الفرزدق	 DQ 	 2 	 1375 	12	شعراء زوزن
أحمد بن نيالتكين	امرؤ القيس	 DQ 	 2 	 1375 	12	شعراء زوزن
أحمد بن نيالتكين	جرير	 DQ 	 2 	 1375 	12	شعراء زوزن
أحمد بن نيالتكين	حسان (بن ثابت) 	 DQ 	 2 	 1375 	12	شعراء زوزن
أحمد بن نيالتكين	الفرزدق	 DQ 	 2 	 1375 	12	شعراء زوزن
امرؤ القيس	جرير	 DQ 	 2 	 1375 	12	شعراء زوزن
امرؤ القيس	حسان (بن ثابت) 	 DQ 	 2 	 1375 	12	شعراء زوزن
امرؤ القيس	الفرزدق	 DQ 	 2 	 1375 	12	شعراء زوزن
جرير	حسان (بن ثابت) 	 DQ 	 2 	 1375 	12	شعراء زوزن
جرير	الفرزدق	 DQ 	 2 	 1375 	12	شعراء زوزن
حسان (بن ثابت) 	الفرزدق	 DQ 	 2 	 1375 	12	شعراء زوزن
ابن أبي سعد بن خلف	ابن برهان النحوي	 DQ 	 1 	 27 	0	[frontmatter]
ابن أبي سعد بن خلف	ابن شبل البغدادي	 DQ 	 1 	 27 	0	[frontmatter]
ابن أبي سعد بن خلف	أحمد بن علي الفقيه الشافعي أبو الفتح	 DQ 	 1 	 27 	0	[frontmatter]
ابن برهان النحوي	ابن شبل البغدادي	 DQ 	 1 	 27 	0	[frontmatter]
ابن برهان النحوي	أحمد بن علي الفقيه الشافعي أبو الفتح	 DQ 	 1 	 27 	0	[frontmatter]
ابن شبل البغدادي	أحمد بن علي الفقيه الشافعي أبو الفتح	 DQ 	 1 	 27 	0	[frontmatter]
ابن أبي شجاع	الحسن بن العلا أبو سعد الموصلاني	 DQ 	 1 	 382 	3	فضلاء العراق
ابن بابا	أبو طالب الوحيد المصري	 DQ 	 1 	 243 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
ابن بابا	 أبو محمد الحمداني	 DQ 	 1 	 243 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
ابن بابا	غرس النعمة	 DQ 	 1 	 243 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
ابن بابا	نظام الملك	 DQ 	 1 	 243 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
أبو طالب الوحيد المصري	 أبو محمد الحمداني	 DQ 	 1 	 243 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
أبو طالب الوحيد المصري	غرس النعمة	 DQ 	 1 	 243 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
أبو طالب الوحيد المصري	نظام الملك	 DQ 	 1 	 243 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
 أبو محمد الحمداني	غرس النعمة	 DQ 	 1 	 243 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
 أبو محمد الحمداني	نظام الملك	 DQ 	 1 	 243 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
غرس النعمة	نظام الملك	 DQ 	 1 	 243 	2	طبقات شعراء الشام وديار بكر وآذربايجان والجزيرة وسائر بلاد المغرب
ابن بابك	ابن نباتة	 DQ 	 1 	 339 	3	فضلاء العراق
ابن بابك	أبو عامر الجرجاني	 DQ 	 1 	 339 	3	فضلاء العراق
ابن بابك	أبو غانم القصري	 DQ 	 1 	 339 	3	فضلاء العراق
ابن بابك	أبو محمد المخزومي البصري	 DQ 	 1 	 339 	3	فضلاء العراق
ابن بابك	المتنبي	 DQ 	 1 	 339 	3	فضلاء العراق
ابن نباتة	أبو عامر الجرجاني	 DQ 	 1 	 339 	3	فضلاء العراق
ابن نباتة	أبو غانم القصري	 DQ 	 1 	 339 	3	فضلاء العراق
ابن نباتة	أبو محمد المخزومي البصري	 DQ 	 1 	 339 	3	فضلاء العراق
ابن نباتة	المتنبي	 DQ 	 1 	 339 	3	فضلاء العراق
أبو عامر الجرجاني	أبو غانم القصري	 DQ 	 1 	 339 	3	فضلاء العراق
أبو عامر الجرجاني	أبو محمد المخزومي البصري	 DQ 	 1 	 339 	3	فضلاء العراق
أبو عامر الجرجاني	المتنبي	 DQ 	 1 	 339 	3	فضلاء العراق
أبو غانم القصري	أبو محمد المخزومي البصري	 DQ 	 1 	 339 	3	فضلاء العراق
أبو غانم القصري	المتنبي	 DQ 	 1 	 339 	3	فضلاء العراق
أبو محمد المخزومي البصري	المتنبي	 DQ 	 1 	 339 	3	فضلاء العراق
ابن بحر بن البغدادي	لقمان	 DQ 	 1 	 369 	3	فضلاء العراق
ابن أبي سعد بن خلف	ابن برهان النحوي	 DQ 	 1 	 27 	0	[frontmatter]
ابن أبي سعد بن خلف	ابن شبل البغدادي	 DQ 	 1 	 27 	0	[frontmatter]
ابن أبي سعد بن خلف	أحمد بن علي الفقيه الشافعي أبو الفتح	 DQ 	 1 	 27 	0	[frontmatter]
ابن برهان النحوي	ابن شبل البغدادي	 DQ 	 1 	 27 	0	[frontmatter]
ابن برهان النحوي	أحمد بن علي الفقيه الشافعي أبو الفتح	 DQ 	 1 	 27 	0	[frontmatter]
ابن شبل البغدادي	أحمد بن علي الفقيه الشافعي أبو الفتح	 DQ 	 1 	 27 	0	[frontmatter]
