PG	ID	URI	Text	Name	OA	OA	OA	OA	OA	Wikipedia	Viaf.org	Encyclopaedia of Islam (https://referenceworks-brillonline-com.emedien.ub.uni-muenchen.de/cluster/Encyclopaedia%20of%20Islam) 	Encyclopaedia Iranica (http://www.iranicaonline.org)	SEP (https://plato.stanford.edu/)	Syriaca.org (esp. Christian authors)	Concatenate	Copy to Recogito	Comments
1	100	https://usaybia.net/person/100	https://usaybia.net/person/100_____________													,https://usaybia.net/person/100	https://usaybia.net/person/100	
1	101	https://usaybia.net/person/101	https://usaybia.net/person/101_____________													,https://usaybia.net/person/101	https://usaybia.net/person/101	
1	102	https://usaybia.net/person/102	https://usaybia.net/person/102_____________													,https://usaybia.net/person/102	https://usaybia.net/person/102	
1	103	https://usaybia.net/person/103	https://usaybia.net/person/103_____________													,https://usaybia.net/person/103	https://usaybia.net/person/103	
1	104	https://usaybia.net/person/104	https://usaybia.net/person/104_____________													,https://usaybia.net/person/104	https://usaybia.net/person/104	
1	105	https://usaybia.net/person/105	https://usaybia.net/person/105_____________													,https://usaybia.net/person/105	https://usaybia.net/person/105	
1	106	https://usaybia.net/person/106	https://usaybia.net/person/106_____________													,https://usaybia.net/person/106	https://usaybia.net/person/106	
1	107	https://usaybia.net/person/107	https://usaybia.net/person/107_____________													,https://usaybia.net/person/107	https://usaybia.net/person/107	
1	108	https://usaybia.net/person/108	https://usaybia.net/person/108_____________													,https://usaybia.net/person/108	https://usaybia.net/person/108	
1	109	https://usaybia.net/person/109	https://usaybia.net/person/109_____________													,https://usaybia.net/person/109	https://usaybia.net/person/109	
1	110	https://usaybia.net/person/110	https://usaybia.net/person/110_____________													,https://usaybia.net/person/110	https://usaybia.net/person/110	
1	111	https://usaybia.net/person/111	https://usaybia.net/person/111_____________													,https://usaybia.net/person/111	https://usaybia.net/person/111	
1	112	https://usaybia.net/person/112	https://usaybia.net/person/112_____________													,https://usaybia.net/person/112	https://usaybia.net/person/112	
1	113	https://usaybia.net/person/113	https://usaybia.net/person/113_____________													,https://usaybia.net/person/113	https://usaybia.net/person/113	
1	114	https://usaybia.net/person/114	https://usaybia.net/person/114_____________													,https://usaybia.net/person/114	https://usaybia.net/person/114	
1	115	https://usaybia.net/person/115	https://usaybia.net/person/115_____________													,https://usaybia.net/person/115	https://usaybia.net/person/115	
1	116	https://usaybia.net/person/116	https://usaybia.net/person/116_____________													,https://usaybia.net/person/116	https://usaybia.net/person/116	
1	117	https://usaybia.net/person/117	https://usaybia.net/person/117_____________													,https://usaybia.net/person/117	https://usaybia.net/person/117	
1	118	https://usaybia.net/person/118	https://usaybia.net/person/118_____________													,https://usaybia.net/person/118	https://usaybia.net/person/118	
1	119	https://usaybia.net/person/119	https://usaybia.net/person/119_____________													,https://usaybia.net/person/119	https://usaybia.net/person/119	
1	120	https://usaybia.net/person/120	https://usaybia.net/person/120_____________													,https://usaybia.net/person/120	https://usaybia.net/person/120	
1	121	https://usaybia.net/person/121	https://usaybia.net/person/121_____________													,https://usaybia.net/person/121	https://usaybia.net/person/121	
1	122	https://usaybia.net/person/122	https://usaybia.net/person/122_____________													,https://usaybia.net/person/122	https://usaybia.net/person/122	
1	123	https://usaybia.net/person/123	https://usaybia.net/person/123_____________													,https://usaybia.net/person/123	https://usaybia.net/person/123	
1	124	https://usaybia.net/person/124	https://usaybia.net/person/124_____________													,https://usaybia.net/person/124	https://usaybia.net/person/124	
1	125	https://usaybia.net/person/125	https://usaybia.net/person/125_____________													,https://usaybia.net/person/125	https://usaybia.net/person/125	
1	126	https://usaybia.net/person/126	https://usaybia.net/person/126_____________													,https://usaybia.net/person/126	https://usaybia.net/person/126	
1	127	https://usaybia.net/person/127	https://usaybia.net/person/127_____________													,https://usaybia.net/person/127	https://usaybia.net/person/127	
1	128	https://usaybia.net/person/128	https://usaybia.net/person/128_____________													,https://usaybia.net/person/128	https://usaybia.net/person/128	
1	129	https://usaybia.net/person/129	https://usaybia.net/person/129_____________													,https://usaybia.net/person/129	https://usaybia.net/person/129	
1	130	https://usaybia.net/person/130	https://usaybia.net/person/130_____________													,https://usaybia.net/person/130	https://usaybia.net/person/130	
1	131	https://usaybia.net/person/131	https://usaybia.net/person/131_____________													,https://usaybia.net/person/131	https://usaybia.net/person/131	
1	132	https://usaybia.net/person/132	https://usaybia.net/person/132_____________													,https://usaybia.net/person/132	https://usaybia.net/person/132	
2	200	https://usaybia.net/person/200	https://usaybia.net/person/200_____________													,https://usaybia.net/person/200	https://usaybia.net/person/200	
2	201	https://usaybia.net/person/201	https://usaybia.net/person/201_____________													,https://usaybia.net/person/201	https://usaybia.net/person/201	
2	202	https://usaybia.net/person/202	https://usaybia.net/person/202_____________													,https://usaybia.net/person/202	https://usaybia.net/person/202	
2	203	https://usaybia.net/person/203	https://usaybia.net/person/203_____________													,https://usaybia.net/person/203	https://usaybia.net/person/203	
2	204	https://usaybia.net/person/204	https://usaybia.net/person/204_____________													,https://usaybia.net/person/204	https://usaybia.net/person/204	
2	205	https://usaybia.net/person/205	https://usaybia.net/person/205_____________													,https://usaybia.net/person/205	https://usaybia.net/person/205	
2	206	https://usaybia.net/person/206	https://usaybia.net/person/206_____________													,https://usaybia.net/person/206	https://usaybia.net/person/206	
2	207	https://usaybia.net/person/207	https://usaybia.net/person/207_____________													,https://usaybia.net/person/207	https://usaybia.net/person/207	
2	208	https://usaybia.net/person/208	https://usaybia.net/person/208_____________													,https://usaybia.net/person/208	https://usaybia.net/person/208	
2	209	https://usaybia.net/person/209	https://usaybia.net/person/209_____________													,https://usaybia.net/person/209	https://usaybia.net/person/209	
2	210	https://usaybia.net/person/210	https://usaybia.net/person/210_____________													,https://usaybia.net/person/210	https://usaybia.net/person/210	
