#doc	source	pos	typeindex	type	topic
#alpha	:	0.02153777021559561	0.021777351644112215	0.11399101162023956	0.017489992081061615	0.09721031086145739	0.02649327181953159	0.0954084575277247	0.0673195173027353	0.0758910026139966	0.07050211120742128	0.01337283424451955	0.0264498953190864	0.04718330359131841	0.08934164225003852	0.02817503892268408	0.05005719906267443	0.02342038742201195	0.030527104063706283	0.028000450028705593	0.05096080735136437	
#beta	:	0.041020555101333525
1	NA	0	0	صناع	4
1	NA	1	1	الط	4
1	NA	2	2	أول	4
1	NA	3	3	حدوثها	4
2	NA	0	4	يعسر	8
2	NA	1	5	لوجوه	7
3	NA	0	6	بعد	8
3	NA	1	7	هده	8
3	NA	2	8	وخصوصا	8
3	NA	3	9	الن	8
3	NA	4	10	عسر	8
3	NA	5	11	جدا	8
4	NA	0	12	نجد	13
4	NA	1	13	للقدماء	16
4	NA	2	14	والمتميزين	8
4	NA	3	15	الآراء	13
4	NA	4	16	الصادقة	13
4	NA	5	17	قولا	13
4	NA	6	18	فقا	16
4	NA	7	19	فنتبعه	16
5	NA	0	20	مين	4
5	NA	1	21	لما	13
5	NA	2	22	فرقا	17
5	NA	3	23	كثيري	13
5	NA	4	11	جدا	4
5	NA	5	24	أشكل	17
5	NA	6	25	الت	4
5	NA	7	26	الهم	17
6	NA	0	27	جالينوس	2
6	NA	1	28	يره	4
6	NA	2	29	لكتاب	2
6	NA	3	30	بقراط	4
6	NA	4	31	القدماء	4
6	NA	5	2	أول	4
6	NA	6	32	وجد	2
6	NA	7	0	صناع	4
6	NA	8	1	الط	4
6	NA	9	33	يكن	4
6	NA	10	34	بحثا	4
6	NA	11	35	يرا	4
7	NA	0	36	ذكره	8
7	NA	1	37	ألحقناه	8
7	NA	2	15	الآراء	8
8	NA	0	38	الق	6
8	NA	1	39	وجود	13
8	NA	2	0	صناع	4
8	NA	3	1	الط	4
8	NA	4	40	قسم	2
8	NA	5	41	أولين	3
8	NA	6	42	فقوم	3
8	NA	7	43	بقدمه	4
8	NA	8	44	قوم	3
8	NA	9	45	بحدوثه	3
9	NA	0	0	صناع	4
9	NA	1	1	الط	4
9	NA	2	46	محدثة	4
9	NA	3	1	الط	4
9	NA	4	46	محدثة	4
10	NA	0	1	الط	4
10	NA	1	47	قدمه	15
11	NA	0	0	صناع	4
11	NA	1	1	الط	4
11	NA	2	48	قديم	13
11	NA	3	49	تزل	16
11	NA	4	50	أحد	13
11	NA	5	49	تزل	4
11	NA	6	51	مثل	13
11	NA	7	52	خلق	13
12	NA	0	53	فينقسم	13
12	NA	1	54	لهم	8
12	NA	2	40	قسم	2
12	NA	3	55	فبعضهم	8
12	NA	4	1	الط	8
12	NA	5	52	خلق	13
12	NA	6	52	خلق	13
12	NA	7	50	أحد	8
13	NA	0	56	وهم	8
13	NA	1	1	الط	4
13	NA	2	57	استخرج	8
13	NA	3	6	بعد	9
14	NA	0	58	ينقسمون	8
14	NA	1	40	قسم	2
14	NA	2	59	منهم	8
14	NA	3	60	الله	8
14	NA	4	61	ألهمها	8
14	NA	5	9	الن	8
14	NA	6	62	الر	8
14	NA	7	63	على	8
14	NA	8	64	وله	8
14	NA	9	27	جالينوس	8
14	NA	10	65	وابقراط	4
14	NA	11	66	وشعراء	8
14	NA	12	67	اليونانيين	8
15	NA	0	9	الن	13
15	NA	1	68	استخرجوها	14
16	NA	0	69	التجربة	14
16	NA	1	70	وثاسلس	14
16	NA	2	71	المغالط	14
16	NA	3	72	وفيلن	14
16	NA	4	56	وهم	14
16	NA	5	73	استخرجت	14
16	NA	6	74	وبماذا	14
16	NA	7	73	استخرجت	14
17	NA	0	75	أهل	14
17	NA	1	76	مصر	7
17	NA	2	68	استخرجوها	14
17	NA	3	77	ويصححون	14
17	NA	4	78	الد	7
17	NA	5	79	باليونانية	14
17	NA	6	80	الأنى	4
17	NA	7	81	الراسن	14
17	NA	8	55	فبعضهم	4
17	NA	9	82	هرمس	14
17	NA	10	57	استخرج	14
17	NA	11	83	الص	4
17	NA	12	84	والفلسفة	4
17	NA	13	85	والطب	4
17	NA	14	86	ضهم	14
17	NA	15	75	أهل	14
17	NA	16	87	فولوس	14
17	NA	17	68	استخرجوها	14
17	NA	18	88	ألفتها	4
17	NA	19	89	لام	4
17	NA	20	90	ملك	7
17	NA	21	91	برؤها	14
17	NA	22	86	ضهم	14
17	NA	23	75	أهل	14
17	NA	24	92	موسيا	14
17	NA	25	93	وأفروجيا	14
17	NA	26	68	استخرجوها	14
17	NA	27	2	أول	4
17	NA	28	57	استخرج	14
17	NA	29	94	الزمر	4
17	NA	30	95	يشفون	14
17	NA	31	96	الألحان	4
17	NA	32	97	والإيقاعات	14
17	NA	33	98	آلام	14
17	NA	34	9	الن	7
17	NA	35	99	ويشفي	14
17	NA	36	98	آلام	14
17	NA	37	9	الن	4
17	NA	38	100	يشفى	14
17	NA	39	101	بدن	4
18	NA	0	75	أهل	14
18	NA	1	102	الجزيرة	14
18	NA	2	103	ابقراط	14
18	NA	3	104	وآباؤه	14
18	NA	4	105	وأعني	5
18	NA	5	106	أسقليبيوس	14
19	NA	0	107	كثير	4
19	NA	1	31	القدماء	4
19	NA	2	1	الط	4
19	NA	3	108	ظهر	4
19	NA	4	109	جزائر	14
19	NA	5	110	وسط	14
19	NA	6	111	الإقليم	14
19	NA	7	62	الر	2
19	NA	8	112	تسمى	14
19	NA	9	113	رودس	2
19	NA	10	114	الث	2
19	NA	11	115	اني	8
19	NA	12	112	تسمى	14
19	NA	13	116	قنيدس	14
19	NA	14	114	الث	2
19	NA	15	112	تسمى	14
19	NA	16	103	ابقراط	2
20	NA	0	117	الكلدانيون	6
21	NA	0	118	الس	6
21	NA	1	75	أهل	6
21	NA	2	119	يمن	6
22	NA	0	118	الس	6
22	NA	1	120	بابل	6
22	NA	2	118	الس	6
22	NA	3	121	ارس	2
23	NA	0	86	ضهم	14
23	NA	1	75	أهل	14
23	NA	2	122	أقريطش	14
23	NA	3	123	ذين	14
23	NA	4	124	لافتيمون	14
23	NA	5	86	ضهم	14
23	NA	6	75	أهل	14
23	NA	7	125	طور	14
23	NA	8	126	سينا	2
24	NA	0	1	الط	4
24	NA	1	60	الله	13
24	NA	2	127	عضهم	14
24	NA	3	128	إلهام	13
24	NA	4	129	بالرؤيا	9
25	NA	0	130	الأحلام	19
25	NA	1	131	أدوية	2
25	NA	2	132	استعملوها	2
25	NA	3	133	فشفتهم	17
25	NA	4	134	أمراض	2
25	NA	5	135	صعبة	19
25	NA	6	136	وشفت	11
25	NA	7	137	استعملها	19
26	NA	0	61	ألهمها	14
26	NA	1	60	الله	13
26	NA	2	138	بالتجربة	14
26	NA	3	139	حزن	13
26	NA	4	140	والهم	9
26	NA	5	141	مبتلاة	9
26	NA	6	142	بالغنظ	9
26	NA	7	143	والدرد	13
26	NA	8	144	معدة	9
26	NA	9	145	وصدرها	13
26	NA	10	146	أخلاطا	17
26	NA	11	147	محتبسا	13
26	NA	12	148	فاتفق	9
26	NA	13	149	أكلت	9
26	NA	14	81	الراسن	14
26	NA	15	150	ذهب	11
26	NA	16	151	رجعت	14
26	NA	17	21	لما	14
26	NA	18	152	مله	13
26	NA	19	153	برأ	9
26	NA	20	9	الن	9
26	NA	21	69	التجربة	14
26	NA	22	63	على	9
27	NA	0	60	الله	13
27	NA	1	52	خلق	13
27	NA	2	0	صناع	2
27	NA	3	1	الط	4
27	NA	4	154	مكن	13
27	NA	5	155	علم	2
27	NA	6	156	عقل	13
27	NA	7	62	الر	13
27	NA	8	27	جالينوس	2
27	NA	9	36	ذكره	2
27	NA	10	28	يره	4
27	NA	11	29	لكتاب	2
27	NA	12	157	لابقراط	2
28	NA	0	158	فالأصوب	13
28	NA	1	159	عندن	7
28	NA	2	2	أول	13
28	NA	3	60	الله	13
28	NA	4	160	ارك	13
28	NA	5	52	خلق	13
28	NA	6	0	صناع	4
28	NA	7	1	الط	4
28	NA	8	161	وألهمها	4
28	NA	9	9	الن	13
28	NA	10	154	مكن	13
28	NA	11	51	مثل	13
28	NA	12	155	علم	13
28	NA	13	156	عقل	13
28	NA	14	60	الله	13
28	NA	15	160	ارك	13
28	NA	16	162	مكنه	13
28	NA	17	163	خلقه	13
28	NA	18	12	نجد	13
28	NA	19	1	الط	4
28	NA	20	164	أحسن	13
28	NA	21	165	الفلسفة	4
28	NA	22	166	استخراجها	13
28	NA	23	60	الله	13
28	NA	24	160	ارك	13
29	NA	0	167	كتاب	2
29	NA	1	168	الش	12
29	NA	2	169	موفق	12
29	NA	3	78	الد	12
29	NA	4	170	أسعد	12
29	NA	5	171	المطران	12
29	NA	6	172	وسمه	12
29	NA	7	173	ببستان	12
29	NA	8	174	وروضة	12
29	NA	9	175	الألباء	12
29	NA	10	176	اما	12
29	NA	11	177	قله	12
29	NA	12	178	أبي	6
29	NA	13	179	ابر	12
29	NA	14	180	المغربي	6
30	NA	0	83	الص	13
30	NA	1	181	وإلهام	13
30	NA	2	78	الد	12
30	NA	3	63	على	13
30	NA	4	83	الص	4
30	NA	5	182	للعناية	4
30	NA	6	183	بأشخاص	13
30	NA	7	9	الن	4
30	NA	8	184	تفيدهم	13
30	NA	9	83	الص	4
30	NA	10	185	أما	13
30	NA	11	186	تحفظ	13
30	NA	12	83	الص	13
31	NA	0	83	الص	4
31	NA	1	187	بالأشخاص	4
31	NA	2	188	بذاتها	4
31	NA	3	189	دون	4
31	NA	4	190	تكون	8
31	NA	5	191	مقرونة	4
31	NA	6	155	علم	4
31	NA	7	192	خصت	8
32	NA	0	193	مبدأ	13
32	NA	1	194	لوقوعها	13
32	NA	2	195	وكل	13
32	NA	3	196	فأوله	13
32	NA	4	197	يجوز	13
32	NA	5	190	تكون	13
32	NA	6	198	أشخاص	2
32	NA	7	9	الن	13
32	NA	8	171	المطران	9
32	NA	9	199	يقدر	13
32	NA	10	63	على	13
32	NA	11	200	حصره	9
32	NA	12	190	تكون	13
32	NA	13	201	يضعف	13
32	NA	14	202	حصرها	13
33	NA	0	179	ابر	18
33	NA	1	203	تقوم	13
33	NA	2	83	الص	13
33	NA	3	193	مبدأ	13
33	NA	4	204	فالصناعة	13
33	NA	5	193	مبدأ	13
34	NA	0	168	الش	6
34	NA	1	2	أول	6
34	NA	2	205	مفتقر	8
34	NA	3	206	كافتقار	6
34	NA	4	207	رهم	8
35	NA	0	2	أول	6
35	NA	1	208	شخص	13
35	NA	2	32	وجد	13
35	NA	3	155	علم	13
35	NA	4	83	الص	13
35	NA	5	209	استنباطا	6
35	NA	6	210	لقصر	6
35	NA	7	211	عمره	13
35	NA	8	212	طول	11
35	NA	9	83	الص	8
35	NA	10	197	يجوز	13
35	NA	11	213	يجتمعوا	4
35	NA	12	193	مبدأ	13
35	NA	13	63	على	13
35	NA	14	214	استنباطها	6
35	NA	15	215	أجل	6
35	NA	16	83	الص	13
35	NA	17	216	متقنة	13
35	NA	18	217	محكم	13
36	NA	0	218	متقن	4
36	NA	1	219	يستنبط	3
36	NA	2	220	بالاختلاف	4
36	NA	3	221	بال	4
38	NA	0	197	يجوز	13
38	NA	1	63	على	8
38	NA	2	218	متقن	4
38	NA	3	215	أجل	13
38	NA	4	208	شخص	13
38	NA	5	208	شخص	13
39	NA	0	222	تتساو	16
39	NA	1	223	آرائها	4
39	NA	2	224	يجز	16
39	NA	3	63	على	4
39	NA	4	225	حكم	4
40	NA	0	171	المطران	4
40	NA	1	226	والصناعات	4
40	NA	2	128	إلهام	4
40	NA	3	227	إتقان	4
40	NA	4	64	وله	4
40	NA	5	197	يجوز	13
40	NA	6	63	على	4
40	NA	7	218	متقن	4
40	NA	8	228	اجتماعها	13
40	NA	9	229	يكون	13
40	NA	10	63	على	13
40	NA	11	218	متقن	4
41	NA	0	230	عدم	13
41	NA	1	231	الإتقان	13
42	NA	0	179	ابر	12
42	NA	1	232	فقد	13
42	NA	2	193	مبدأ	13
42	NA	3	233	استنباط	8
42	NA	4	83	الص	13
42	NA	5	234	لتباينهم	12
42	NA	6	235	وافتراقهم	12
42	NA	7	236	خلف	12
42	NA	8	237	ينهم	12
43	NA	0	197	يجوز	16
43	NA	1	238	يشك	2
43	NA	2	239	يعرف	2
43	NA	3	9	الن	2
43	NA	4	107	كثير	4
43	NA	5	240	منابت	16
43	NA	6	241	الحشائش	2
43	NA	7	242	والعقاقير	2
43	NA	8	243	ومواضع	2
43	NA	9	244	وخواصها	2
43	NA	10	245	وقوى	2
43	NA	11	244	وخواصها	2
43	NA	12	246	ومضارها	2
43	NA	13	247	ومنافعها	2
43	NA	14	239	يعرف	2
43	NA	15	248	والبلدان	2
43	NA	16	249	أمزجة	2
43	NA	17	250	هله	4
43	NA	18	251	ارهم	2
43	NA	19	239	يعرف	2
43	NA	20	252	ينتجها	2
